rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Sage,1.06,16.1,15.1,7.1,0.597,0.007,215,675,e8,act2,radiant
2,Deadlock,1.09,16.6,15.2,4.7,0.531,0.01,218,1016,e8,act2,radiant
3,Clove,1.02,17.6,17.3,8.1,0.521,0.002,245,234,e8,act2,radiant
4,Phoenix,1.12,17.8,15.9,4.8,0.521,0.013,240,1290,e8,act2,radiant
5,Reyna,1.16,18.2,15.8,4.1,0.52,0.109,244,10906,e8,act2,radiant
6,Killjoy,1.12,16.3,14.6,3.0,0.518,0.059,216,5875,e8,act2,radiant
7,Viper,1.08,16.1,15.0,5.4,0.512,0.065,214,6523,e8,act2,radiant
8,Skye,1.01,15.1,15.0,7.7,0.511,0.04,203,4012,e8,act2,radiant
9,Cypher,1.08,15.8,14.6,4.4,0.511,0.09,209,8997,e8,act2,radiant
10,Jett,1.13,18.2,16.1,3.1,0.508,0.167,243,16767,e8,act2,radiant
11,Astra,1.14,16.5,14.5,7.6,0.507,0.009,221,866,e8,act2,radiant
12,Omen,1.04,15.7,15.0,8.3,0.506,0.086,208,8621,e8,act2,radiant
13,Yoru,1.09,17.3,15.9,4.3,0.506,0.02,232,1980,e8,act2,radiant
14,Brimstone,1.05,15.5,14.8,9.6,0.506,0.022,215,2170,e8,act2,radiant
15,Sova,1.04,15.4,14.8,5.7,0.505,0.084,208,8436,e8,act2,radiant
16,Gekko,0.99,14.8,14.9,5.3,0.505,0.04,197,3977,e8,act2,radiant
17,Raze,1.08,17.6,16.3,4.1,0.504,0.101,245,10098,e8,act2,radiant
18,Breach,1.0,15.2,15.2,8.6,0.503,0.007,203,749,e8,act2,radiant
19,Chamber,1.14,17.4,15.2,2.7,0.497,0.033,226,3306,e8,act2,radiant
20,Neon,1.03,16.7,16.2,4.2,0.495,0.003,229,283,e8,act2,radiant
21,Fade,1.03,15.4,14.9,7.1,0.494,0.016,205,1552,e8,act2,radiant
22,Harbor,0.9,14.0,15.5,6.4,0.478,0.001,193,69,e8,act2,radiant
23,KAY/O,0.98,15.3,15.6,10.2,0.449,0.016,212,1587,e8,act2,radiant
24,Iso,0.98,16.0,16.3,4.2,0.378,0.001,222,119,e8,act2,radiant
1,Clove,1.01,17.8,17.6,7.8,0.562,0.001,243,514,e8,act2,immortal3
2,Sage,1.01,15.0,14.8,6.8,0.543,0.012,204,4677,e8,act2,immortal3
3,Deadlock,1.08,16.1,14.9,4.3,0.529,0.008,211,3219,e8,act2,immortal3
4,Reyna,1.13,17.7,15.8,4.1,0.519,0.106,239,41502,e8,act2,immortal3
5,Phoenix,1.11,17.5,15.7,4.7,0.515,0.015,239,6055,e8,act2,immortal3
6,Iso,1.09,17.3,15.9,4.2,0.513,0.003,238,1319,e8,act2,immortal3
7,Jett,1.1,17.7,16.1,3.1,0.51,0.158,239,62161,e8,act2,immortal3
8,Cypher,1.04,15.3,14.7,4.4,0.509,0.097,202,38142,e8,act2,immortal3
9,Brimstone,1.01,14.9,14.8,9.8,0.509,0.026,207,10292,e8,act2,immortal3
10,Sova,1.02,14.9,14.6,5.6,0.508,0.088,203,34633,e8,act2,immortal3
11,Skye,0.97,14.6,15.0,7.7,0.506,0.038,197,15008,e8,act2,immortal3
12,Viper,1.03,15.2,14.8,5.3,0.504,0.062,205,24500,e8,act2,immortal3
13,Raze,1.05,17.1,16.2,4.1,0.504,0.088,239,34641,e8,act2,immortal3
14,Astra,1.08,15.8,14.6,7.6,0.503,0.008,210,3164,e8,act2,immortal3
15,Omen,1.01,15.1,14.9,8.2,0.502,0.097,203,38190,e8,act2,immortal3
16,Yoru,1.06,16.8,15.8,4.2,0.502,0.018,226,7129,e8,act2,immortal3
17,Killjoy,1.06,15.5,14.6,3.0,0.502,0.054,206,21309,e8,act2,immortal3
18,Gekko,0.97,14.5,14.9,5.2,0.502,0.041,191,16189,e8,act2,immortal3
19,Breach,0.96,14.5,15.0,8.3,0.497,0.012,196,4573,e8,act2,immortal3
20,Fade,1.0,15.0,15.0,6.8,0.496,0.014,202,5613,e8,act2,immortal3
21,Chamber,1.14,17.1,15.1,2.6,0.495,0.032,225,12568,e8,act2,immortal3
