rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
1,Jett,1.14,18.5,16.2,3.4,0.51,0.218,248,66504,e3,act3,radiant
2,Reyna,1.12,17.9,15.9,3.6,0.52,0.148,242,44931,e3,act3,radiant
3,Sova,0.99,15.1,15.1,6.5,0.48,0.109,204,33303,e3,act3,radiant
4,Viper,1.04,15.6,15.0,5.4,0.49,0.083,207,25143,e3,act3,radiant
5,Chamber,1.17,17.5,15.0,2.9,0.55,0.077,227,23460,e3,act3,radiant
6,Sage,1.04,15.6,14.9,7.0,0.59,0.06,205,18309,e3,act3,radiant
7,Raze,1.07,17.3,16.1,4.7,0.5,0.056,242,17187,e3,act3,radiant
8,Astra,1.01,15.3,15.2,6.4,0.49,0.051,199,15453,e3,act3,radiant
9,Skye,0.97,15.0,15.4,5.6,0.48,0.037,200,11118,e3,act3,radiant
10,Cypher,1.04,16.2,15.7,4.0,0.42,0.036,207,10863,e3,act3,radiant
11,Omen,0.97,15.2,15.6,6.3,0.45,0.034,200,10404,e3,act3,radiant
12,Killjoy,1.08,15.6,14.4,3.5,0.53,0.031,212,9333,e3,act3,radiant
13,Breach,0.94,14.5,15.4,5.8,0.49,0.02,193,6069,e3,act3,radiant
14,KAY/O,0.99,16.1,16.2,8.5,0.43,0.018,214,5610,e3,act3,radiant
15,Brimstone,1.06,16.6,15.7,8.5,0.51,0.013,214,4029,e3,act3,radiant
16,Phoenix,1.15,17.9,15.6,3.4,0.42,0.006,250,1836,e3,act3,radiant
17,Yoru,1.04,16.3,15.7,5.2,0.59,0.003,219,867,e3,act3,radiant
1,Jett,1.09,17.6,16.1,3.4,0.5,0.193,239,381378,e3,act3,immortal3
2,Reyna,1.09,17.4,15.9,3.7,0.5,0.138,237,273666,e3,act3,immortal3
3,Sova,0.98,14.5,14.8,6.6,0.5,0.099,200,196656,e3,act3,immortal3
4,Sage,0.97,14.6,15.0,6.8,0.51,0.091,196,179112,e3,act3,immortal3
5,Chamber,1.09,16.5,15.1,2.8,0.49,0.08,219,158610,e3,act3,immortal3
6,Viper,1.01,14.9,14.8,5.5,0.51,0.075,200,148359,e3,act3,immortal3
7,Astra,1.02,15.2,15.0,6.3,0.49,0.053,199,104346,e3,act3,immortal3
8,Raze,1.02,16.5,16.3,4.8,0.52,0.051,237,101694,e3,act3,immortal3
9,Skye,0.95,14.7,15.5,5.5,0.49,0.041,197,81753,e3,act3,immortal3
10,Omen,0.99,14.8,15.0,6.2,0.52,0.041,200,81549,e3,act3,immortal3
11,Killjoy,1.02,14.7,14.4,3.6,0.49,0.035,205,69768,e3,act3,immortal3
12,Cypher,1.0,15.0,14.9,3.9,0.49,0.033,199,66147,e3,act3,immortal3
13,Brimstone,0.96,14.6,15.3,7.4,0.48,0.023,198,44625,e3,act3,immortal3
14,Breach,0.92,14.4,15.6,5.8,0.46,0.019,194,38301,e3,act3,immortal3
15,KAY/O,0.9,14.3,15.9,8.3,0.44,0.017,196,32844,e3,act3,immortal3
16,Phoenix,0.98,16.1,16.5,3.7,0.44,0.006,221,10965,e3,act3,immortal3
17,Yoru,0.93,14.6,15.8,3.1,0.4,0.004,202,8007,e3,act3,immortal3
1,Jett,1.08,17.3,16.0,3.5,0.49,0.183,237,489192,e3,act3,immortal2
2,Reyna,1.08,17.2,15.9,3.8,0.5,0.144,236,385152,e3,act3,immortal2
3,Sage,0.96,14.3,14.9,6.8,0.51,0.098,192,263007,e3,act3,immortal2
4,Sova,0.98,14.4,14.7,6.5,0.52,0.094,200,252195,e3,act3,immortal2
5,Viper,0.98,14.6,14.8,5.6,0.51,0.076,197,204459,e3,act3,immortal2
6,Chamber,1.06,16.1,15.2,2.9,0.5,0.065,215,173604,e3,act3,immortal2
7,Raze,1.0,16.3,16.3,4.9,0.48,0.053,234,141882,e3,act3,immortal2
