placement,Jett,Reyna,Raze,Sova,Sage,Brimstone,Omen,Killjoy,Phoenix,Cypher,Yoru,Breach,Skye,Viper
radiant,0.2,0.178,0.12,0.088,0.081,0.074,0.065,0.065,0.044,0.039,0.02,0.017,0.005,0.005
immortal,0.167,0.152,0.104,0.077,0.104,0.087,0.083,0.08,0.049,0.049,0.015,0.018,0.008,0.008
diamond3,0.146,0.155,0.099,0.076,0.105,0.098,0.084,0.081,0.051,0.051,0.023,0.018,0.006,0.007
diamond2,0.143,0.156,0.098,0.072,0.106,0.095,0.081,0.077,0.052,0.054,0.029,0.022,0.006,0.008
diamond1,0.139,0.152,0.098,0.069,0.113,0.092,0.084,0.078,0.057,0.05,0.029,0.023,0.008,0.009
platinum3,0.132,0.151,0.092,0.072,0.114,0.094,0.087,0.079,0.059,0.051,0.029,0.023,0.008,0.008
platinum2,0.129,0.152,0.095,0.069,0.117,0.092,0.084,0.076,0.06,0.048,0.033,0.025,0.009,0.011
platinum1,0.126,0.157,0.098,0.068,0.118,0.089,0.083,0.076,0.057,0.048,0.034,0.025,0.009,0.011
gold3,0.12,0.154,0.098,0.068,0.123,0.086,0.085,0.076,0.059,0.045,0.039,0.023,0.011,0.012
gold2,0.116,0.155,0.097,0.069,0.126,0.083,0.084,0.073,0.059,0.047,0.041,0.024,0.013,0.013
gold1,0.113,0.154,0.098,0.069,0.128,0.081,0.083,0.076,0.06,0.044,0.045,0.024,0.013,0.015
silver3,0.109,0.151,0.098,0.069,0.134,0.078,0.085,0.076,0.059,0.043,0.047,0.023,0.015,0.015
silver2,0.106,0.149,0.101,0.07,0.137,0.075,0.082,0.073,0.06,0.043,0.049,0.022,0.017,0.016
silver1,0.104,0.149,0.102,0.071,0.139,0.071,0.081,0.071,0.062,0.042,0.049,0.022,0.019,0.018
bronze3,0.099,0.146,0.105,0.072,0.151,0.064,0.079,0.071,0.062,0.04,0.051,0.02,0.021,0.019
bronze2,0.099,0.147,0.111,0.073,0.149,0.06,0.075,0.067,0.065,0.039,0.052,0.019,0.023,0.021
bronze1,0.1,0.145,0.118,0.07,0.156,0.051,0.072,0.064,0.066,0.037,0.056,0.018,0.024,0.023
iron3,0.105,0.14,0.124,0.071,0.157,0.045,0.067,0.059,0.073,0.035,0.056,0.016,0.026,0.025
iron2,0.107,0.14,0.129,0.069,0.153,0.04,0.063,0.052,0.077,0.035,0.062,0.018,0.027,0.03
iron1,0.117,0.136,0.14,0.064,0.146,0.037,0.063,0.043,0.083,0.033,0.068,0.0,0.024,0.032
