placement,Jett,Reyna,Raze,Omen,Sova,Sage,Killjoy,Cypher,Phoenix,Brimstone,Viper,Astra,Skye,Breach,Yoru
radiant,0.19,0.126,0.118,0.11,0.105,0.103,0.057,0.049,0.039,0.024,0.023,0.021,0.015,0.014,0.007
immortal,0.163,0.122,0.1,0.123,0.084,0.127,0.074,0.055,0.042,0.039,0.017,0.015,0.012,0.021,0.006
diamond3,0.15,0.128,0.094,0.126,0.078,0.132,0.075,0.053,0.048,0.05,0.015,0.013,0.01,0.024,0.005
diamond2,0.153,0.129,0.1,0.115,0.074,0.132,0.073,0.051,0.05,0.047,0.017,0.013,0.011,0.028,0.007
diamond1,0.149,0.133,0.096,0.115,0.078,0.132,0.071,0.05,0.05,0.048,0.018,0.013,0.011,0.028,0.008
platinum3,0.149,0.132,0.097,0.111,0.074,0.132,0.072,0.047,0.052,0.05,0.02,0.015,0.011,0.029,0.009
platinum2,0.148,0.129,0.098,0.108,0.074,0.136,0.071,0.047,0.053,0.051,0.02,0.014,0.012,0.031,0.009
platinum1,0.139,0.13,0.098,0.107,0.074,0.138,0.072,0.047,0.053,0.053,0.022,0.014,0.012,0.032,0.011
gold3,0.137,0.135,0.099,0.103,0.074,0.139,0.071,0.043,0.053,0.053,0.023,0.014,0.012,0.031,0.011
gold2,0.132,0.132,0.098,0.101,0.073,0.142,0.072,0.044,0.055,0.054,0.023,0.014,0.013,0.032,0.013
gold1,0.125,0.131,0.098,0.098,0.074,0.149,0.074,0.043,0.055,0.057,0.024,0.014,0.015,0.03,0.014
silver3,0.128,0.137,0.098,0.093,0.074,0.146,0.071,0.041,0.057,0.057,0.024,0.013,0.015,0.029,0.017
silver2,0.123,0.135,0.1,0.091,0.076,0.149,0.071,0.04,0.058,0.057,0.025,0.013,0.016,0.028,0.018
silver1,0.119,0.132,0.1,0.088,0.075,0.157,0.072,0.039,0.06,0.057,0.025,0.012,0.017,0.027,0.02
bronze3,0.113,0.134,0.101,0.085,0.075,0.16,0.072,0.039,0.06,0.056,0.026,0.012,0.019,0.026,0.022
bronze2,0.11,0.129,0.104,0.083,0.076,0.164,0.07,0.038,0.063,0.054,0.028,0.012,0.02,0.025,0.025
bronze1,0.103,0.125,0.108,0.08,0.076,0.172,0.07,0.037,0.062,0.051,0.03,0.011,0.023,0.024,0.028
iron3,0.104,0.12,0.111,0.075,0.078,0.175,0.065,0.036,0.067,0.049,0.032,0.01,0.024,0.021,0.032
iron2,0.103,0.121,0.118,0.07,0.077,0.175,0.062,0.035,0.068,0.045,0.035,0.01,0.025,0.019,0.037
iron1,0.111,0.121,0.128,0.068,0.073,0.167,0.054,0.032,0.072,0.039,0.039,0.011,0.024,0.018,0.043
