placement,Jett,Reyna,Sova,Sage,Raze,Omen,Killjoy,Viper,Skye,Cypher,Phoenix,Astra,Brimstone,Yoru,Breach
radiant,0.193,0.137,0.114,0.113,0.097,0.087,0.051,0.05,0.036,0.033,0.031,0.028,0.016,0.011,0.005
immortal,0.168,0.129,0.09,0.135,0.084,0.105,0.068,0.046,0.033,0.042,0.034,0.022,0.027,0.008,0.01
diamond3,0.155,0.133,0.084,0.145,0.081,0.11,0.067,0.042,0.031,0.04,0.038,0.017,0.032,0.008,0.014
diamond2,0.157,0.135,0.081,0.142,0.082,0.105,0.066,0.044,0.032,0.04,0.04,0.017,0.032,0.01,0.017
diamond1,0.155,0.135,0.08,0.143,0.082,0.105,0.065,0.044,0.031,0.04,0.041,0.018,0.034,0.011,0.018
platinum3,0.159,0.137,0.076,0.139,0.086,0.102,0.064,0.044,0.03,0.039,0.043,0.017,0.035,0.013,0.019
platinum2,0.154,0.138,0.077,0.14,0.083,0.1,0.064,0.045,0.031,0.039,0.045,0.016,0.037,0.012,0.019
platinum1,0.148,0.136,0.075,0.141,0.084,0.1,0.065,0.047,0.031,0.039,0.045,0.015,0.039,0.013,0.021
gold3,0.147,0.139,0.076,0.143,0.084,0.097,0.064,0.046,0.031,0.037,0.047,0.015,0.039,0.015,0.021
gold2,0.141,0.136,0.075,0.147,0.085,0.095,0.067,0.046,0.031,0.037,0.047,0.014,0.041,0.016,0.022
gold1,0.133,0.136,0.075,0.152,0.084,0.095,0.069,0.047,0.03,0.036,0.049,0.013,0.044,0.017,0.022
silver3,0.137,0.141,0.073,0.148,0.086,0.09,0.066,0.046,0.029,0.034,0.05,0.012,0.044,0.019,0.022
silver2,0.131,0.141,0.074,0.154,0.087,0.087,0.068,0.046,0.028,0.034,0.051,0.012,0.045,0.02,0.021
silver1,0.126,0.139,0.075,0.158,0.088,0.085,0.069,0.046,0.029,0.034,0.053,0.011,0.046,0.022,0.021
bronze3,0.121,0.138,0.074,0.161,0.089,0.083,0.07,0.047,0.029,0.033,0.053,0.01,0.045,0.025,0.021
bronze2,0.114,0.133,0.075,0.165,0.091,0.08,0.072,0.048,0.031,0.034,0.054,0.009,0.045,0.027,0.021
bronze1,0.106,0.127,0.075,0.174,0.095,0.078,0.073,0.05,0.031,0.034,0.054,0.009,0.045,0.03,0.02
iron3,0.102,0.123,0.077,0.179,0.098,0.074,0.069,0.05,0.032,0.032,0.059,0.008,0.042,0.035,0.019
iron2,0.097,0.119,0.075,0.181,0.106,0.071,0.068,0.054,0.032,0.031,0.061,0.007,0.04,0.04,0.018
iron1,0.101,0.116,0.075,0.176,0.117,0.063,0.063,0.058,0.032,0.029,0.064,0.007,0.036,0.046,0.018
