placement,Jett,Reyna,Sova,Sage,Omen,Raze,Skye,Viper,Cypher,Killjoy,Astra,Brimstone,KAY/O,Phoenix,Yoru,Breach
radiant,0.208,0.142,0.109,0.1,0.073,0.068,0.063,0.057,0.043,0.043,0.024,0.024,0.019,0.013,0.009,0.004
immortal,0.178,0.138,0.09,0.126,0.087,0.065,0.059,0.057,0.045,0.052,0.018,0.032,0.023,0.019,0.007,0.006
diamond3,0.161,0.136,0.087,0.135,0.092,0.063,0.054,0.053,0.046,0.055,0.016,0.038,0.029,0.022,0.007,0.007
diamond2,0.164,0.137,0.081,0.131,0.089,0.066,0.052,0.052,0.045,0.055,0.016,0.036,0.032,0.025,0.008,0.009
diamond1,0.16,0.14,0.079,0.134,0.089,0.065,0.053,0.051,0.041,0.057,0.016,0.038,0.03,0.027,0.009,0.011
platinum3,0.159,0.143,0.075,0.132,0.089,0.067,0.052,0.05,0.04,0.057,0.017,0.038,0.031,0.029,0.01,0.011
platinum2,0.155,0.142,0.076,0.135,0.086,0.067,0.051,0.049,0.039,0.058,0.015,0.04,0.034,0.03,0.011,0.013
platinum1,0.15,0.143,0.074,0.138,0.087,0.066,0.049,0.049,0.039,0.06,0.015,0.04,0.034,0.032,0.011,0.013
gold3,0.149,0.148,0.071,0.135,0.085,0.068,0.047,0.049,0.036,0.062,0.014,0.041,0.034,0.034,0.013,0.014
gold2,0.144,0.145,0.07,0.139,0.083,0.07,0.045,0.05,0.036,0.064,0.014,0.041,0.035,0.036,0.014,0.014
gold1,0.136,0.142,0.069,0.144,0.082,0.069,0.044,0.05,0.035,0.068,0.013,0.043,0.037,0.036,0.015,0.015
silver3,0.134,0.146,0.068,0.144,0.08,0.072,0.04,0.049,0.034,0.068,0.011,0.044,0.039,0.039,0.017,0.015
silver2,0.127,0.142,0.068,0.149,0.079,0.073,0.038,0.048,0.033,0.07,0.011,0.046,0.039,0.042,0.019,0.015
silver1,0.121,0.138,0.07,0.157,0.077,0.075,0.036,0.048,0.033,0.07,0.01,0.046,0.038,0.046,0.021,0.016
bronze3,0.113,0.137,0.069,0.161,0.075,0.076,0.036,0.048,0.032,0.072,0.009,0.046,0.038,0.048,0.024,0.015
bronze2,0.107,0.13,0.07,0.168,0.072,0.08,0.036,0.049,0.032,0.072,0.008,0.045,0.037,0.052,0.027,0.015
bronze1,0.099,0.125,0.069,0.174,0.07,0.083,0.037,0.051,0.032,0.074,0.008,0.043,0.039,0.051,0.03,0.014
iron3,0.098,0.123,0.071,0.177,0.066,0.087,0.036,0.052,0.031,0.07,0.006,0.04,0.037,0.056,0.034,0.014
iron2,0.094,0.12,0.069,0.178,0.064,0.094,0.036,0.054,0.03,0.07,0.006,0.039,0.04,0.055,0.037,0.014
iron1,0.098,0.114,0.071,0.177,0.061,0.1,0.033,0.057,0.029,0.064,0.006,0.037,0.038,0.059,0.043,0.013
