placement,Jett,Reyna,Sova,Sage,Viper,Raze,Omen,Skye,Killjoy,Cypher,Astra,Breach,KAY/O,Brimstone,Phoenix,Yoru
radiant,0.202,0.156,0.114,0.091,0.073,0.064,0.056,0.054,0.047,0.046,0.045,0.015,0.012,0.012,0.009,0.005
immortal3,0.192,0.141,0.106,0.11,0.074,0.058,0.06,0.052,0.056,0.045,0.04,0.012,0.013,0.024,0.011,0.006
immortal2,0.178,0.145,0.1,0.121,0.07,0.057,0.068,0.06,0.059,0.045,0.035,0.011,0.01,0.025,0.01,0.006
immortal1,0.171,0.148,0.095,0.126,0.063,0.058,0.071,0.062,0.059,0.045,0.032,0.012,0.011,0.028,0.013,0.007
diamond3,0.163,0.149,0.088,0.131,0.062,0.059,0.074,0.064,0.061,0.043,0.03,0.013,0.011,0.031,0.015,0.006
diamond2,0.166,0.153,0.085,0.13,0.059,0.061,0.071,0.063,0.06,0.041,0.029,0.014,0.012,0.032,0.018,0.007
diamond1,0.16,0.149,0.083,0.132,0.059,0.064,0.072,0.063,0.06,0.041,0.029,0.015,0.014,0.032,0.019,0.008
platinum3,0.162,0.154,0.081,0.13,0.059,0.064,0.07,0.061,0.061,0.039,0.027,0.016,0.014,0.033,0.02,0.009
platinum2,0.155,0.151,0.078,0.132,0.058,0.065,0.071,0.062,0.064,0.039,0.027,0.016,0.015,0.034,0.023,0.01
platinum1,0.147,0.151,0.077,0.137,0.058,0.064,0.072,0.063,0.065,0.038,0.026,0.016,0.016,0.036,0.024,0.011
gold3,0.147,0.155,0.077,0.135,0.056,0.067,0.071,0.059,0.066,0.036,0.023,0.016,0.016,0.037,0.027,0.012
gold2,0.14,0.151,0.074,0.14,0.056,0.068,0.071,0.059,0.069,0.035,0.022,0.017,0.018,0.038,0.028,0.013
gold1,0.131,0.147,0.073,0.145,0.055,0.069,0.072,0.059,0.072,0.035,0.02,0.017,0.018,0.04,0.031,0.014
silver3,0.132,0.154,0.071,0.144,0.053,0.072,0.07,0.055,0.071,0.032,0.018,0.018,0.019,0.041,0.033,0.017
silver2,0.125,0.148,0.071,0.15,0.054,0.073,0.069,0.054,0.072,0.033,0.016,0.018,0.02,0.042,0.037,0.019
silver1,0.117,0.145,0.072,0.155,0.053,0.074,0.068,0.053,0.073,0.032,0.015,0.017,0.022,0.043,0.04,0.021
bronze3,0.112,0.144,0.07,0.158,0.053,0.076,0.068,0.052,0.075,0.032,0.012,0.017,0.023,0.042,0.043,0.024
bronze2,0.107,0.137,0.072,0.164,0.053,0.078,0.066,0.05,0.072,0.032,0.011,0.016,0.026,0.041,0.048,0.028
bronze1,0.097,0.13,0.072,0.171,0.054,0.081,0.066,0.05,0.072,0.032,0.01,0.017,0.027,0.039,0.05,0.033
iron3,0.099,0.126,0.073,0.174,0.054,0.084,0.063,0.048,0.065,0.032,0.008,0.015,0.03,0.038,0.056,0.037
iron2,0.094,0.124,0.073,0.176,0.056,0.09,0.061,0.044,0.066,0.03,0.007,0.015,0.031,0.036,0.056,0.041
iron1,0.103,0.12,0.073,0.169,0.059,0.097,0.056,0.039,0.059,0.029,0.007,0.014,0.032,0.033,0.065,0.046
