placement,Jett,Reyna,Sova,Viper,Chamber,Sage,Raze,Astra,Skye,Cypher,Omen,Killjoy,Breach,KAY/O,Brimstone,Phoenix,Yoru
radiant,0.218,0.148,0.109,0.083,0.077,0.06,0.056,0.051,0.037,0.036,0.034,0.031,0.02,0.018,0.013,0.006,0.003
immortal3,0.193,0.138,0.099,0.075,0.08,0.091,0.051,0.053,0.041,0.033,0.041,0.035,0.019,0.017,0.023,0.006,0.004
immortal2,0.183,0.144,0.094,0.076,0.065,0.098,0.053,0.046,0.046,0.034,0.047,0.042,0.02,0.014,0.025,0.008,0.005
immortal1,0.174,0.146,0.087,0.071,0.058,0.108,0.054,0.041,0.05,0.034,0.053,0.046,0.02,0.014,0.029,0.008,0.005
diamond3,0.169,0.145,0.084,0.071,0.058,0.114,0.055,0.039,0.051,0.034,0.054,0.047,0.019,0.013,0.03,0.01,0.005
diamond2,0.17,0.149,0.079,0.07,0.057,0.115,0.055,0.036,0.051,0.034,0.053,0.049,0.019,0.014,0.032,0.012,0.006
diamond1,0.165,0.148,0.079,0.067,0.056,0.118,0.057,0.035,0.052,0.033,0.054,0.05,0.02,0.015,0.032,0.013,0.007
platinum3,0.162,0.152,0.076,0.065,0.056,0.12,0.059,0.033,0.051,0.032,0.055,0.05,0.021,0.015,0.033,0.015,0.007
platinum2,0.157,0.149,0.074,0.064,0.055,0.122,0.06,0.032,0.051,0.032,0.056,0.052,0.02,0.016,0.034,0.016,0.007
platinum1,0.151,0.147,0.073,0.064,0.053,0.127,0.061,0.03,0.051,0.032,0.057,0.055,0.021,0.016,0.036,0.018,0.008
gold3,0.149,0.152,0.07,0.061,0.052,0.128,0.064,0.028,0.05,0.031,0.056,0.056,0.02,0.016,0.037,0.021,0.009
gold2,0.143,0.15,0.071,0.06,0.05,0.131,0.065,0.026,0.05,0.03,0.057,0.059,0.021,0.017,0.038,0.022,0.01
gold1,0.135,0.146,0.071,0.059,0.048,0.139,0.065,0.024,0.049,0.03,0.059,0.061,0.021,0.018,0.039,0.025,0.011
silver3,0.135,0.153,0.068,0.058,0.047,0.138,0.067,0.021,0.048,0.028,0.057,0.062,0.021,0.018,0.039,0.028,0.013
silver2,0.128,0.149,0.067,0.058,0.046,0.144,0.069,0.019,0.047,0.029,0.058,0.064,0.02,0.019,0.04,0.03,0.015
silver1,0.121,0.145,0.068,0.057,0.044,0.15,0.07,0.017,0.047,0.028,0.058,0.064,0.02,0.02,0.041,0.035,0.017
bronze3,0.114,0.143,0.067,0.057,0.041,0.152,0.073,0.015,0.047,0.028,0.058,0.067,0.019,0.022,0.04,0.037,0.019
bronze2,0.108,0.137,0.068,0.056,0.039,0.159,0.074,0.013,0.045,0.029,0.058,0.066,0.018,0.024,0.039,0.044,0.023
bronze1,0.102,0.132,0.069,0.056,0.035,0.167,0.076,0.012,0.046,0.029,0.057,0.066,0.018,0.025,0.037,0.046,0.027
iron3,0.102,0.129,0.071,0.056,0.032,0.17,0.078,0.009,0.044,0.029,0.056,0.062,0.016,0.027,0.035,0.053,0.032
iron2,0.098,0.123,0.07,0.059,0.031,0.172,0.086,0.008,0.042,0.028,0.054,0.06,0.015,0.029,0.035,0.054,0.035
iron1,0.101,0.119,0.072,0.059,0.028,0.172,0.085,0.008,0.038,0.027,0.051,0.055,0.015,0.029,0.033,0.066,0.044
