placement,Jett,Reyna,Sova,Chamber,Viper,Astra,Neon,Sage,Omen,Breach,Skye,Killjoy,Raze,Cypher,KAY/O,Brimstone,Yoru
radiant,0.217,0.143,0.122,0.101,0.069,0.058,0.048,0.042,0.037,0.032,0.032,0.026,0.021,0.016,0.016,0.011,0.011
immortal3,0.216,0.115,0.096,0.102,0.079,0.073,0.044,0.068,0.025,0.018,0.035,0.019,0.05,0.025,0.018,0.012,0.003
immortal2,0.186,0.13,0.095,0.103,0.081,0.056,0.052,0.073,0.032,0.014,0.034,0.031,0.043,0.028,0.012,0.021,0.004
immortal1,0.176,0.128,0.094,0.088,0.077,0.053,0.064,0.079,0.034,0.018,0.038,0.031,0.045,0.027,0.016,0.023,0.003
diamond3,0.165,0.129,0.096,0.082,0.077,0.054,0.067,0.087,0.03,0.019,0.037,0.036,0.045,0.028,0.015,0.027,0.004
diamond2,0.169,0.128,0.091,0.076,0.076,0.05,0.065,0.09,0.036,0.017,0.043,0.035,0.048,0.029,0.016,0.024,0.003
diamond1,0.167,0.125,0.086,0.074,0.071,0.049,0.061,0.095,0.041,0.019,0.043,0.039,0.048,0.03,0.016,0.026,0.004
platinum3,0.159,0.13,0.077,0.074,0.07,0.043,0.068,0.098,0.039,0.019,0.046,0.04,0.051,0.028,0.015,0.03,0.004
platinum2,0.149,0.134,0.076,0.07,0.074,0.042,0.068,0.104,0.041,0.019,0.047,0.039,0.05,0.028,0.017,0.031,0.005
platinum1,0.147,0.133,0.073,0.071,0.07,0.04,0.069,0.106,0.043,0.017,0.048,0.041,0.051,0.029,0.016,0.032,0.005
gold3,0.147,0.14,0.067,0.065,0.066,0.038,0.073,0.107,0.043,0.019,0.046,0.044,0.053,0.028,0.016,0.032,0.006
gold2,0.142,0.135,0.07,0.063,0.066,0.034,0.074,0.114,0.045,0.019,0.046,0.045,0.053,0.029,0.017,0.032,0.006
gold1,0.133,0.136,0.068,0.061,0.065,0.035,0.075,0.116,0.045,0.019,0.047,0.049,0.053,0.028,0.018,0.034,0.007
silver3,0.132,0.14,0.064,0.058,0.063,0.03,0.077,0.117,0.046,0.019,0.045,0.048,0.056,0.028,0.018,0.034,0.007
silver2,0.123,0.139,0.064,0.056,0.064,0.028,0.076,0.124,0.048,0.019,0.044,0.053,0.057,0.028,0.018,0.035,0.009
silver1,0.115,0.138,0.064,0.057,0.063,0.026,0.064,0.13,0.05,0.02,0.045,0.057,0.057,0.028,0.02,0.037,0.01
bronze3,0.104,0.134,0.062,0.053,0.063,0.022,0.072,0.138,0.05,0.02,0.044,0.061,0.058,0.027,0.02,0.038,0.011
bronze2,0.097,0.129,0.062,0.05,0.062,0.02,0.062,0.15,0.053,0.02,0.045,0.064,0.06,0.029,0.021,0.038,0.014
bronze1,0.086,0.123,0.061,0.047,0.064,0.016,0.068,0.162,0.051,0.018,0.046,0.066,0.063,0.028,0.023,0.035,0.016
iron3,0.082,0.116,0.065,0.044,0.063,0.013,0.056,0.169,0.051,0.018,0.046,0.065,0.068,0.028,0.025,0.036,0.021
iron2,0.082,0.111,0.062,0.041,0.062,0.01,0.067,0.169,0.052,0.016,0.043,0.065,0.072,0.027,0.024,0.033,0.027
iron1,0.084,0.108,0.065,0.033,0.06,0.008,0.057,0.175,0.049,0.017,0.039,0.061,0.078,0.029,0.027,0.032,0.032
