placement,Jett,Chamber,Sova,Reyna,Raze,Omen,Brimstone,Viper,Sage,KAY/O,Skye,Breach,Killjoy,Cypher,Neon,Yoru,Astra,Phoenix
radiant,0.216,0.164,0.115,0.095,0.063,0.062,0.061,0.047,0.045,0.034,0.029,0.021,0.014,0.011,0.007,0.007,0.005,0.003
immortal3,0.198,0.155,0.107,0.099,0.059,0.054,0.067,0.059,0.062,0.033,0.032,0.024,0.014,0.012,0.008,0.009,0.005,0.003
immortal2,0.186,0.152,0.096,0.109,0.053,0.055,0.07,0.061,0.067,0.033,0.036,0.023,0.018,0.015,0.007,0.01,0.005,0.003
immortal1,0.179,0.141,0.093,0.113,0.054,0.055,0.072,0.06,0.076,0.032,0.038,0.021,0.021,0.015,0.008,0.011,0.005,0.004
diamond3,0.172,0.136,0.086,0.118,0.054,0.059,0.071,0.06,0.084,0.032,0.04,0.021,0.023,0.016,0.008,0.011,0.006,0.005
diamond2,0.172,0.128,0.082,0.121,0.056,0.058,0.068,0.056,0.087,0.031,0.04,0.023,0.026,0.017,0.01,0.013,0.007,0.005
diamond1,0.167,0.122,0.078,0.12,0.056,0.058,0.067,0.057,0.092,0.031,0.043,0.022,0.028,0.02,0.01,0.012,0.007,0.006
platinum3,0.165,0.117,0.075,0.126,0.057,0.058,0.066,0.056,0.094,0.031,0.042,0.022,0.03,0.02,0.011,0.014,0.008,0.007
platinum2,0.161,0.112,0.075,0.124,0.058,0.06,0.066,0.055,0.098,0.031,0.043,0.022,0.032,0.02,0.012,0.014,0.008,0.008
platinum1,0.154,0.108,0.073,0.127,0.057,0.06,0.065,0.053,0.103,0.031,0.045,0.023,0.036,0.021,0.013,0.015,0.009,0.008
gold3,0.152,0.102,0.069,0.13,0.06,0.06,0.064,0.053,0.107,0.03,0.043,0.022,0.037,0.021,0.014,0.016,0.009,0.01
gold2,0.145,0.098,0.068,0.129,0.06,0.061,0.062,0.053,0.112,0.03,0.043,0.023,0.041,0.023,0.016,0.018,0.009,0.011
gold1,0.137,0.092,0.067,0.13,0.059,0.061,0.062,0.053,0.12,0.029,0.043,0.023,0.044,0.023,0.018,0.019,0.009,0.012
silver3,0.135,0.087,0.065,0.136,0.061,0.06,0.061,0.051,0.119,0.028,0.043,0.022,0.046,0.023,0.019,0.021,0.009,0.014
silver2,0.128,0.081,0.064,0.133,0.062,0.062,0.059,0.051,0.126,0.028,0.043,0.022,0.049,0.023,0.022,0.023,0.009,0.015
silver1,0.118,0.076,0.064,0.132,0.062,0.062,0.058,0.051,0.133,0.028,0.044,0.021,0.052,0.025,0.023,0.025,0.009,0.017
bronze3,0.11,0.073,0.062,0.131,0.063,0.062,0.056,0.051,0.138,0.029,0.044,0.02,0.055,0.026,0.026,0.028,0.008,0.019
bronze2,0.101,0.068,0.063,0.126,0.063,0.063,0.053,0.051,0.146,0.03,0.045,0.019,0.055,0.027,0.029,0.031,0.008,0.023
bronze1,0.094,0.063,0.063,0.121,0.065,0.062,0.05,0.051,0.155,0.03,0.046,0.018,0.056,0.027,0.031,0.036,0.008,0.025
iron3,0.088,0.056,0.064,0.118,0.067,0.061,0.045,0.051,0.163,0.031,0.045,0.016,0.055,0.029,0.036,0.04,0.007,0.029
iron2,0.084,0.052,0.064,0.115,0.071,0.059,0.042,0.053,0.165,0.031,0.044,0.016,0.055,0.028,0.038,0.046,0.007,0.031
iron1,0.087,0.045,0.061,0.113,0.074,0.057,0.037,0.054,0.165,0.03,0.038,0.015,0.051,0.027,0.047,0.053,0.006,0.041
