placement,Chamber,Jett,Reyna,Sova,Raze,Omen,Viper,Sage,Fade,Brimstone,KAY/O,Skye,Neon,Breach,Cypher,Yoru,Astra,Killjoy,Phoenix
radiant,0.183,0.148,0.087,0.087,0.082,0.065,0.058,0.049,0.044,0.04,0.035,0.031,0.024,0.02,0.013,0.012,0.011,0.009,0.003
immortal3,0.177,0.144,0.091,0.072,0.068,0.066,0.059,0.059,0.055,0.052,0.033,0.035,0.02,0.025,0.012,0.01,0.009,0.013,0.003
immortal2,0.165,0.132,0.103,0.066,0.068,0.069,0.062,0.063,0.058,0.052,0.036,0.037,0.019,0.023,0.013,0.009,0.009,0.013,0.003
immortal1,0.161,0.119,0.11,0.061,0.069,0.068,0.063,0.074,0.054,0.054,0.037,0.037,0.019,0.023,0.013,0.009,0.008,0.016,0.004
diamond3,0.152,0.117,0.114,0.059,0.069,0.07,0.061,0.079,0.051,0.054,0.037,0.041,0.019,0.022,0.014,0.009,0.008,0.019,0.005
diamond2,0.147,0.113,0.118,0.056,0.07,0.07,0.059,0.084,0.05,0.054,0.036,0.042,0.019,0.022,0.014,0.01,0.009,0.02,0.005
diamond1,0.143,0.108,0.122,0.051,0.068,0.071,0.058,0.089,0.051,0.055,0.036,0.043,0.019,0.023,0.015,0.011,0.009,0.022,0.006
platinum3,0.138,0.105,0.125,0.05,0.069,0.071,0.057,0.091,0.051,0.053,0.035,0.042,0.02,0.023,0.015,0.011,0.01,0.026,0.007
platinum2,0.134,0.1,0.126,0.049,0.069,0.069,0.056,0.096,0.053,0.054,0.035,0.042,0.021,0.023,0.016,0.012,0.01,0.027,0.008
platinum1,0.126,0.095,0.128,0.048,0.071,0.071,0.055,0.1,0.053,0.054,0.035,0.042,0.021,0.022,0.017,0.013,0.01,0.03,0.009
gold3,0.12,0.093,0.132,0.047,0.072,0.071,0.054,0.103,0.052,0.053,0.034,0.041,0.022,0.022,0.017,0.014,0.01,0.033,0.01
gold2,0.114,0.087,0.132,0.047,0.071,0.07,0.053,0.108,0.053,0.053,0.034,0.041,0.023,0.022,0.018,0.015,0.01,0.036,0.011
gold1,0.108,0.082,0.132,0.047,0.071,0.072,0.053,0.114,0.052,0.053,0.034,0.042,0.023,0.022,0.019,0.016,0.01,0.038,0.012
silver3,0.102,0.079,0.14,0.045,0.07,0.071,0.051,0.117,0.051,0.052,0.033,0.041,0.025,0.022,0.019,0.018,0.009,0.04,0.014
silver2,0.096,0.073,0.136,0.046,0.071,0.072,0.051,0.122,0.052,0.052,0.033,0.04,0.027,0.021,0.019,0.021,0.009,0.043,0.016
silver1,0.089,0.069,0.134,0.046,0.07,0.071,0.051,0.129,0.052,0.051,0.034,0.041,0.028,0.021,0.02,0.023,0.009,0.046,0.018
bronze3,0.085,0.062,0.133,0.046,0.069,0.073,0.05,0.132,0.052,0.05,0.035,0.041,0.03,0.019,0.021,0.025,0.008,0.048,0.019
bronze2,0.077,0.059,0.128,0.048,0.069,0.072,0.049,0.14,0.052,0.048,0.035,0.042,0.033,0.018,0.022,0.03,0.008,0.048,0.022
bronze1,0.073,0.054,0.122,0.049,0.069,0.071,0.049,0.149,0.054,0.046,0.036,0.042,0.034,0.017,0.023,0.033,0.007,0.049,0.024
iron3,0.064,0.054,0.119,0.05,0.071,0.069,0.049,0.153,0.054,0.041,0.035,0.041,0.038,0.016,0.023,0.039,0.006,0.048,0.028
iron2,0.057,0.052,0.115,0.048,0.074,0.067,0.051,0.159,0.057,0.039,0.034,0.04,0.04,0.015,0.023,0.044,0.006,0.05,0.029
iron1,0.05,0.055,0.116,0.052,0.076,0.062,0.051,0.158,0.056,0.035,0.033,0.036,0.047,0.013,0.024,0.05,0.005,0.047,0.035
