placement,Chamber,Jett,Sova,Reyna,Raze,Viper,Fade,Omen,Brimstone,KAY/O,Sage,Skye,Phoenix,Breach,Neon,Astra,Yoru,Cypher,Killjoy
radiant,0.204,0.144,0.073,0.07,0.064,0.062,0.06,0.053,0.049,0.037,0.034,0.031,0.03,0.026,0.02,0.016,0.011,0.01,0.006
immortal3,0.189,0.143,0.073,0.07,0.059,0.071,0.054,0.049,0.054,0.039,0.046,0.033,0.031,0.027,0.022,0.012,0.011,0.009,0.008
immortal2,0.185,0.143,0.071,0.079,0.058,0.073,0.053,0.049,0.051,0.037,0.048,0.036,0.031,0.024,0.02,0.012,0.012,0.01,0.008
immortal1,0.179,0.141,0.067,0.083,0.057,0.071,0.049,0.053,0.053,0.036,0.055,0.039,0.031,0.024,0.021,0.011,0.011,0.01,0.01
ascendant3,0.178,0.136,0.062,0.089,0.059,0.072,0.047,0.05,0.054,0.037,0.057,0.041,0.029,0.023,0.021,0.011,0.01,0.01,0.012
ascendant2,0.173,0.131,0.06,0.091,0.057,0.071,0.048,0.054,0.054,0.038,0.063,0.042,0.029,0.023,0.022,0.011,0.011,0.01,0.013
ascendant1,0.167,0.125,0.057,0.095,0.058,0.07,0.048,0.055,0.055,0.04,0.069,0.043,0.028,0.024,0.021,0.011,0.011,0.011,0.015
diamond3,0.162,0.118,0.055,0.099,0.056,0.069,0.047,0.057,0.056,0.039,0.074,0.045,0.026,0.024,0.021,0.011,0.011,0.011,0.018
diamond2,0.154,0.113,0.053,0.103,0.057,0.067,0.046,0.059,0.056,0.04,0.079,0.047,0.026,0.024,0.023,0.011,0.011,0.012,0.02
diamond1,0.148,0.107,0.051,0.106,0.058,0.065,0.045,0.061,0.057,0.039,0.086,0.046,0.026,0.024,0.023,0.011,0.012,0.013,0.023
platinum3,0.143,0.105,0.049,0.113,0.057,0.065,0.044,0.061,0.057,0.039,0.089,0.045,0.026,0.024,0.024,0.01,0.012,0.013,0.025
platinum2,0.136,0.101,0.048,0.113,0.058,0.063,0.044,0.063,0.057,0.039,0.094,0.046,0.026,0.024,0.025,0.011,0.013,0.014,0.027
platinum1,0.13,0.097,0.048,0.115,0.058,0.062,0.044,0.064,0.056,0.039,0.1,0.045,0.026,0.024,0.025,0.01,0.014,0.014,0.03
gold3,0.123,0.093,0.047,0.122,0.059,0.06,0.043,0.065,0.056,0.038,0.103,0.044,0.026,0.024,0.027,0.01,0.015,0.014,0.032
gold2,0.118,0.089,0.046,0.121,0.061,0.06,0.043,0.065,0.055,0.037,0.107,0.045,0.026,0.023,0.028,0.01,0.016,0.015,0.034
gold1,0.113,0.084,0.046,0.121,0.06,0.059,0.043,0.067,0.054,0.038,0.113,0.045,0.026,0.023,0.029,0.01,0.018,0.015,0.037
silver3,0.107,0.082,0.045,0.127,0.061,0.058,0.043,0.066,0.053,0.037,0.115,0.044,0.026,0.022,0.031,0.009,0.019,0.016,0.039
silver2,0.101,0.077,0.045,0.124,0.061,0.057,0.044,0.068,0.053,0.037,0.121,0.045,0.026,0.021,0.032,0.009,0.022,0.017,0.041
silver1,0.094,0.072,0.046,0.123,0.062,0.056,0.044,0.069,0.052,0.038,0.128,0.044,0.026,0.02,0.034,0.008,0.024,0.018,0.043
bronze3,0.087,0.066,0.045,0.121,0.064,0.055,0.046,0.07,0.049,0.038,0.133,0.044,0.028,0.019,0.036,0.008,0.028,0.019,0.046
bronze2,0.078,0.062,0.047,0.117,0.065,0.053,0.048,0.07,0.047,0.038,0.139,0.044,0.029,0.018,0.039,0.007,0.033,0.02,0.045
bronze1,0.07,0.059,0.047,0.114,0.068,0.054,0.051,0.068,0.044,0.037,0.147,0.044,0.029,0.016,0.041,0.006,0.038,0.02,0.047
iron3,0.06,0.058,0.049,0.111,0.071,0.052,0.053,0.064,0.04,0.037,0.154,0.042,0.034,0.014,0.044,0.005,0.045,0.021,0.046
iron2,0.054,0.062,0.047,0.108,0.073,0.053,0.056,0.06,0.035,0.034,0.153,0.039,0.038,0.014,0.049,0.005,0.054,0.022,0.045
iron1,0.045,0.071,0.053,0.103,0.086,0.052,0.059,0.051,0.036,0.028,0.145,0.037,0.044,0.016,0.053,0.007,0.054,0.023,0.037
