placement,Chamber,Jett,Raze,Fade,Reyna,Sova,Viper,Omen,KAY/O,Brimstone,Sage,Skye,Phoenix,Astra,Breach,Neon,Killjoy,Cypher,Yoru
radiant,0.198,0.136,0.073,0.072,0.07,0.067,0.067,0.051,0.043,0.042,0.037,0.029,0.028,0.026,0.024,0.015,0.01,0.007,0.005
immortal3,0.19,0.139,0.065,0.067,0.077,0.071,0.066,0.044,0.035,0.054,0.044,0.028,0.029,0.022,0.026,0.016,0.008,0.008,0.012
immortal2,0.182,0.135,0.062,0.066,0.08,0.068,0.07,0.047,0.037,0.053,0.05,0.032,0.03,0.02,0.025,0.018,0.008,0.007,0.011
immortal1,0.181,0.131,0.06,0.062,0.085,0.061,0.073,0.047,0.037,0.055,0.055,0.035,0.029,0.015,0.024,0.017,0.011,0.009,0.01
ascendant3,0.175,0.127,0.061,0.062,0.086,0.061,0.072,0.047,0.037,0.057,0.06,0.036,0.031,0.016,0.024,0.017,0.012,0.009,0.01
ascendant2,0.171,0.12,0.06,0.06,0.088,0.057,0.072,0.049,0.04,0.055,0.065,0.038,0.032,0.015,0.024,0.019,0.014,0.01,0.01
ascendant1,0.166,0.114,0.06,0.059,0.091,0.055,0.071,0.05,0.04,0.055,0.071,0.039,0.032,0.015,0.024,0.019,0.016,0.011,0.011
diamond3,0.158,0.11,0.06,0.059,0.094,0.054,0.07,0.053,0.04,0.056,0.076,0.04,0.032,0.015,0.025,0.019,0.018,0.011,0.011
diamond2,0.153,0.106,0.059,0.057,0.097,0.052,0.068,0.055,0.04,0.057,0.081,0.041,0.032,0.015,0.024,0.02,0.021,0.011,0.012
diamond1,0.145,0.101,0.06,0.056,0.101,0.05,0.067,0.056,0.04,0.058,0.086,0.041,0.033,0.014,0.025,0.02,0.023,0.012,0.012
platinum3,0.138,0.098,0.061,0.054,0.107,0.049,0.064,0.056,0.039,0.058,0.09,0.041,0.034,0.014,0.024,0.022,0.025,0.013,0.013
platinum2,0.132,0.095,0.062,0.054,0.108,0.048,0.064,0.058,0.039,0.057,0.094,0.041,0.034,0.014,0.025,0.023,0.027,0.013,0.014
platinum1,0.126,0.09,0.061,0.054,0.111,0.047,0.063,0.06,0.039,0.057,0.098,0.041,0.034,0.013,0.024,0.024,0.03,0.014,0.015
gold3,0.119,0.089,0.062,0.051,0.116,0.047,0.061,0.06,0.038,0.057,0.101,0.041,0.035,0.012,0.024,0.025,0.031,0.014,0.016
gold2,0.114,0.085,0.063,0.052,0.115,0.046,0.06,0.062,0.039,0.057,0.105,0.041,0.034,0.012,0.023,0.026,0.033,0.015,0.018
gold1,0.107,0.08,0.062,0.052,0.115,0.045,0.06,0.063,0.039,0.056,0.112,0.042,0.035,0.011,0.024,0.027,0.036,0.015,0.02
silver3,0.101,0.077,0.063,0.052,0.121,0.044,0.058,0.064,0.038,0.055,0.113,0.041,0.036,0.011,0.022,0.029,0.037,0.015,0.022
silver2,0.095,0.072,0.063,0.052,0.118,0.045,0.057,0.065,0.039,0.054,0.12,0.041,0.036,0.01,0.021,0.031,0.04,0.017,0.025
silver1,0.087,0.068,0.064,0.053,0.116,0.045,0.056,0.066,0.039,0.053,0.125,0.042,0.038,0.009,0.02,0.032,0.041,0.017,0.028
bronze3,0.082,0.065,0.066,0.055,0.117,0.045,0.055,0.067,0.039,0.05,0.129,0.042,0.038,0.008,0.019,0.034,0.041,0.018,0.031
bronze2,0.074,0.062,0.066,0.056,0.114,0.046,0.053,0.066,0.039,0.047,0.135,0.041,0.042,0.008,0.018,0.036,0.041,0.019,0.037
bronze1,0.067,0.057,0.069,0.06,0.109,0.045,0.054,0.067,0.039,0.044,0.142,0.041,0.039,0.007,0.016,0.038,0.043,0.02,0.043
iron3,0.058,0.061,0.071,0.059,0.111,0.047,0.051,0.064,0.038,0.039,0.146,0.039,0.043,0.006,0.014,0.042,0.04,0.02,0.051
iron2,0.054,0.061,0.075,0.061,0.111,0.044,0.051,0.059,0.036,0.036,0.146,0.038,0.045,0.007,0.014,0.044,0.04,0.021,0.058
iron1,0.048,0.072,0.081,0.06,0.108,0.046,0.049,0.057,0.031,0.035,0.137,0.033,0.053,0.008,0.015,0.047,0.04,0.019,0.061
