placement,Phoenix,Brimstone,Chamber,Viper,Fade,Omen,Raze,Sage,Jett,Reyna,Cypher,KAY/O,Killjoy,Sova,Skye,Astra,Yoru,Harbor,Breach,Neon
radiant,0.018,0.028,0.026,0.041,0.032,0.073,0.075,0.039,0.181,0.072,0.045,0.029,0.104,0.077,0.041,0.036,0.011,0.015,0.047,0.01
immortal3,0.025,0.038,0.023,0.038,0.035,0.07,0.073,0.051,0.167,0.084,0.051,0.027,0.096,0.073,0.034,0.036,0.009,0.014,0.047,0.011
immortal2,0.025,0.04,0.023,0.039,0.037,0.071,0.075,0.057,0.16,0.09,0.049,0.028,0.092,0.068,0.035,0.033,0.009,0.016,0.043,0.011
immortal1,0.027,0.042,0.026,0.04,0.04,0.067,0.073,0.061,0.156,0.092,0.047,0.031,0.086,0.062,0.038,0.03,0.009,0.016,0.043,0.012
ascendant3,0.028,0.046,0.027,0.041,0.04,0.068,0.07,0.066,0.152,0.097,0.047,0.031,0.082,0.06,0.037,0.03,0.008,0.016,0.042,0.011
ascendant2,0.028,0.046,0.028,0.042,0.041,0.068,0.071,0.068,0.147,0.097,0.047,0.033,0.079,0.058,0.038,0.028,0.009,0.016,0.042,0.012
ascendant1,0.029,0.046,0.028,0.043,0.043,0.068,0.07,0.074,0.139,0.098,0.044,0.035,0.078,0.058,0.04,0.027,0.01,0.016,0.041,0.014
diamond3,0.03,0.049,0.029,0.043,0.043,0.068,0.069,0.079,0.133,0.1,0.044,0.035,0.077,0.055,0.041,0.026,0.009,0.016,0.04,0.014
diamond2,0.031,0.049,0.029,0.042,0.043,0.069,0.071,0.082,0.129,0.101,0.043,0.036,0.075,0.055,0.041,0.024,0.011,0.016,0.039,0.014
diamond1,0.031,0.05,0.03,0.043,0.044,0.068,0.068,0.086,0.125,0.105,0.04,0.037,0.074,0.053,0.042,0.023,0.011,0.015,0.039,0.016
platinum3,0.032,0.051,0.03,0.042,0.043,0.069,0.068,0.092,0.12,0.111,0.038,0.037,0.073,0.052,0.042,0.022,0.011,0.015,0.038,0.016
platinum2,0.033,0.051,0.031,0.042,0.043,0.069,0.068,0.094,0.115,0.112,0.038,0.037,0.073,0.051,0.042,0.021,0.012,0.015,0.037,0.018
platinum1,0.034,0.052,0.03,0.043,0.043,0.068,0.068,0.098,0.111,0.113,0.037,0.036,0.072,0.05,0.042,0.02,0.013,0.015,0.037,0.019
gold3,0.035,0.054,0.029,0.042,0.042,0.069,0.067,0.101,0.107,0.119,0.035,0.036,0.072,0.048,0.042,0.018,0.014,0.014,0.035,0.02
gold2,0.035,0.053,0.029,0.043,0.042,0.068,0.068,0.105,0.103,0.119,0.035,0.036,0.072,0.048,0.042,0.018,0.015,0.014,0.034,0.021
gold1,0.036,0.053,0.029,0.043,0.042,0.069,0.067,0.109,0.096,0.119,0.035,0.037,0.073,0.048,0.043,0.017,0.016,0.014,0.033,0.023
silver3,0.037,0.053,0.029,0.043,0.042,0.068,0.068,0.108,0.092,0.126,0.033,0.036,0.072,0.047,0.042,0.015,0.018,0.014,0.031,0.025
silver2,0.037,0.052,0.028,0.044,0.042,0.069,0.067,0.115,0.086,0.124,0.033,0.037,0.072,0.046,0.043,0.014,0.02,0.014,0.031,0.027
silver1,0.038,0.051,0.027,0.043,0.044,0.069,0.067,0.12,0.081,0.123,0.032,0.037,0.071,0.046,0.043,0.013,0.022,0.014,0.029,0.029
bronze3,0.039,0.049,0.027,0.044,0.045,0.069,0.067,0.123,0.075,0.121,0.032,0.037,0.071,0.047,0.043,0.012,0.025,0.014,0.028,0.031
bronze2,0.041,0.047,0.026,0.045,0.047,0.067,0.069,0.129,0.069,0.117,0.032,0.038,0.068,0.047,0.044,0.011,0.03,0.014,0.025,0.034
bronze1,0.041,0.043,0.025,0.046,0.049,0.067,0.07,0.135,0.064,0.112,0.032,0.038,0.067,0.047,0.044,0.01,0.035,0.014,0.023,0.037
iron3,0.046,0.039,0.024,0.045,0.053,0.063,0.073,0.139,0.064,0.111,0.03,0.037,0.06,0.049,0.042,0.008,0.043,0.013,0.019,0.042
iron2,0.049,0.035,0.023,0.045,0.054,0.06,0.076,0.141,0.067,0.113,0.029,0.035,0.053,0.049,0.039,0.007,0.052,0.013,0.016,0.046
iron1,0.054,0.033,0.022,0.045,0.057,0.057,0.079,0.136,0.07,0.11,0.027,0.031,0.048,0.049,0.035,0.007,0.059,0.013,0.015,0.053
