placement,Phoenix,Reyna,Sage,Brimstone,Fade,Killjoy,Jett,Sova,Skye,Raze,Astra,Viper,Gekko,Omen,Cypher,Neon,Breach,Chamber,Yoru,Harbor,KAY/O
radiant,0.016,0.069,0.036,0.028,0.023,0.119,0.184,0.076,0.037,0.071,0.034,0.042,0.047,0.076,0.039,0.007,0.039,0.02,0.007,0.011,0.02
immortal3,0.021,0.082,0.046,0.038,0.023,0.102,0.167,0.069,0.029,0.068,0.034,0.037,0.053,0.077,0.048,0.008,0.041,0.021,0.008,0.01,0.019
immortal2,0.022,0.088,0.049,0.041,0.025,0.094,0.164,0.062,0.029,0.067,0.032,0.038,0.06,0.074,0.047,0.008,0.039,0.022,0.008,0.011,0.019
immortal1,0.023,0.09,0.057,0.043,0.027,0.087,0.158,0.058,0.03,0.067,0.029,0.039,0.062,0.073,0.046,0.009,0.037,0.024,0.008,0.012,0.022
ascendant3,0.025,0.094,0.061,0.045,0.027,0.082,0.152,0.054,0.031,0.068,0.028,0.04,0.063,0.072,0.045,0.009,0.035,0.026,0.008,0.012,0.022
ascendant2,0.025,0.095,0.066,0.047,0.028,0.079,0.146,0.052,0.032,0.067,0.026,0.04,0.065,0.072,0.044,0.01,0.034,0.027,0.009,0.012,0.024
ascendant1,0.026,0.096,0.071,0.048,0.028,0.077,0.14,0.05,0.033,0.066,0.025,0.041,0.066,0.072,0.042,0.011,0.033,0.028,0.009,0.012,0.025
diamond3,0.027,0.099,0.076,0.05,0.029,0.075,0.134,0.048,0.033,0.066,0.023,0.04,0.066,0.073,0.041,0.012,0.032,0.028,0.009,0.012,0.026
diamond2,0.028,0.102,0.08,0.05,0.03,0.074,0.129,0.046,0.034,0.065,0.022,0.04,0.067,0.072,0.039,0.012,0.032,0.029,0.009,0.012,0.027
diamond1,0.028,0.105,0.085,0.052,0.03,0.072,0.124,0.045,0.034,0.065,0.021,0.04,0.066,0.073,0.038,0.013,0.031,0.029,0.01,0.012,0.027
platinum3,0.03,0.11,0.088,0.052,0.03,0.071,0.12,0.043,0.034,0.065,0.02,0.04,0.066,0.073,0.036,0.015,0.03,0.029,0.01,0.012,0.027
platinum2,0.03,0.112,0.092,0.053,0.03,0.07,0.115,0.042,0.034,0.065,0.019,0.039,0.066,0.073,0.035,0.016,0.03,0.029,0.011,0.012,0.028
platinum1,0.031,0.113,0.096,0.054,0.03,0.07,0.109,0.041,0.035,0.064,0.018,0.04,0.066,0.073,0.034,0.017,0.029,0.029,0.012,0.012,0.028
gold3,0.032,0.12,0.098,0.054,0.03,0.069,0.106,0.04,0.034,0.065,0.017,0.039,0.066,0.072,0.033,0.018,0.028,0.028,0.013,0.011,0.028
gold2,0.033,0.119,0.102,0.054,0.03,0.069,0.101,0.04,0.035,0.065,0.016,0.04,0.066,0.072,0.033,0.019,0.027,0.027,0.014,0.012,0.028
gold1,0.033,0.119,0.107,0.054,0.031,0.069,0.095,0.039,0.035,0.064,0.015,0.04,0.066,0.073,0.032,0.021,0.027,0.027,0.015,0.012,0.028
silver3,0.035,0.126,0.107,0.053,0.031,0.068,0.092,0.038,0.035,0.064,0.014,0.04,0.065,0.072,0.031,0.023,0.025,0.026,0.017,0.011,0.028
silver2,0.035,0.124,0.112,0.053,0.032,0.068,0.085,0.038,0.035,0.064,0.013,0.04,0.066,0.072,0.031,0.025,0.025,0.026,0.019,0.012,0.028
silver1,0.037,0.122,0.118,0.052,0.033,0.066,0.08,0.039,0.036,0.064,0.011,0.04,0.064,0.072,0.03,0.027,0.023,0.025,0.021,0.012,0.029
bronze3,0.038,0.121,0.12,0.049,0.035,0.065,0.074,0.039,0.036,0.065,0.01,0.04,0.065,0.072,0.03,0.029,0.022,0.024,0.024,0.012,0.029
bronze2,0.039,0.116,0.126,0.047,0.037,0.063,0.069,0.04,0.037,0.065,0.009,0.04,0.064,0.071,0.03,0.032,0.02,0.024,0.028,0.012,0.03
bronze1,0.04,0.112,0.132,0.043,0.04,0.06,0.064,0.04,0.037,0.068,0.008,0.041,0.064,0.069,0.029,0.035,0.018,0.023,0.034,0.012,0.03
iron3,0.045,0.111,0.135,0.039,0.044,0.054,0.064,0.042,0.035,0.069,0.007,0.041,0.062,0.065,0.028,0.04,0.016,0.021,0.041,0.011,0.03
iron2,0.048,0.111,0.136,0.035,0.046,0.048,0.066,0.042,0.032,0.072,0.006,0.041,0.061,0.062,0.026,0.044,0.014,0.02,0.049,0.011,0.029
iron1,0.052,0.11,0.133,0.032,0.049,0.042,0.071,0.043,0.028,0.076,0.006,0.041,0.06,0.057,0.025,0.048,0.013,0.02,0.057,0.01,0.028
