placement,Sage,Reyna,Phoenix,Brimstone,Raze,Astra,Jett,Fade,Skye,Gekko,Killjoy,Cypher,Viper,Sova,Yoru,Omen,Neon,Breach,Chamber,Harbor,KAY/O
radiant,0.025,0.058,0.016,0.046,0.093,0.03,0.183,0.024,0.079,0.017,0.104,0.04,0.03,0.057,0.011,0.082,0.005,0.036,0.035,0.01,0.017
immortal3,0.034,0.074,0.023,0.055,0.083,0.033,0.171,0.021,0.07,0.019,0.09,0.051,0.017,0.053,0.011,0.086,0.008,0.04,0.037,0.009,0.017
immortal2,0.038,0.078,0.023,0.056,0.082,0.031,0.166,0.023,0.07,0.022,0.088,0.05,0.018,0.051,0.009,0.084,0.007,0.038,0.036,0.011,0.018
immortal1,0.044,0.08,0.024,0.057,0.08,0.029,0.16,0.025,0.067,0.026,0.086,0.049,0.02,0.048,0.009,0.082,0.008,0.038,0.038,0.012,0.02
ascendant3,0.048,0.085,0.026,0.058,0.079,0.027,0.155,0.025,0.066,0.027,0.081,0.047,0.021,0.045,0.009,0.081,0.009,0.037,0.04,0.012,0.021
ascendant2,0.053,0.087,0.027,0.058,0.078,0.026,0.148,0.025,0.066,0.029,0.078,0.046,0.022,0.044,0.01,0.081,0.009,0.036,0.042,0.013,0.023
ascendant1,0.058,0.088,0.028,0.059,0.076,0.025,0.141,0.026,0.064,0.031,0.077,0.045,0.023,0.042,0.01,0.081,0.01,0.035,0.041,0.013,0.024
diamond3,0.064,0.092,0.029,0.06,0.075,0.024,0.134,0.027,0.063,0.033,0.076,0.043,0.025,0.041,0.01,0.081,0.011,0.034,0.041,0.013,0.025
diamond2,0.069,0.095,0.029,0.06,0.075,0.023,0.128,0.028,0.061,0.034,0.075,0.042,0.025,0.041,0.011,0.081,0.011,0.034,0.041,0.013,0.026
diamond1,0.075,0.098,0.03,0.06,0.074,0.021,0.123,0.028,0.06,0.035,0.074,0.04,0.026,0.04,0.011,0.081,0.012,0.033,0.04,0.012,0.026
platinum3,0.078,0.104,0.031,0.06,0.074,0.02,0.121,0.028,0.057,0.036,0.072,0.039,0.027,0.039,0.011,0.08,0.013,0.032,0.039,0.012,0.026
platinum2,0.082,0.106,0.032,0.06,0.073,0.019,0.115,0.028,0.056,0.037,0.072,0.038,0.028,0.039,0.012,0.08,0.014,0.032,0.038,0.012,0.026
platinum1,0.087,0.108,0.032,0.06,0.072,0.018,0.109,0.029,0.055,0.038,0.072,0.037,0.029,0.038,0.013,0.08,0.015,0.031,0.037,0.012,0.026
gold3,0.09,0.115,0.034,0.06,0.073,0.017,0.106,0.028,0.053,0.039,0.07,0.036,0.029,0.038,0.014,0.079,0.017,0.03,0.035,0.012,0.026
gold2,0.095,0.115,0.034,0.06,0.072,0.016,0.101,0.029,0.053,0.04,0.07,0.036,0.03,0.037,0.015,0.079,0.018,0.03,0.034,0.012,0.027
gold1,0.1,0.115,0.035,0.06,0.07,0.015,0.094,0.029,0.052,0.041,0.07,0.036,0.031,0.037,0.016,0.079,0.02,0.029,0.033,0.012,0.027
silver3,0.102,0.122,0.036,0.059,0.071,0.014,0.091,0.029,0.05,0.042,0.068,0.034,0.031,0.036,0.017,0.078,0.022,0.027,0.031,0.012,0.027
silver2,0.107,0.12,0.037,0.058,0.07,0.013,0.084,0.03,0.05,0.043,0.068,0.034,0.032,0.037,0.019,0.078,0.024,0.026,0.03,0.012,0.027
silver1,0.114,0.118,0.038,0.056,0.07,0.011,0.079,0.031,0.05,0.045,0.066,0.033,0.033,0.037,0.021,0.078,0.026,0.025,0.029,0.012,0.028
bronze3,0.117,0.119,0.04,0.054,0.07,0.01,0.073,0.033,0.049,0.047,0.064,0.033,0.033,0.037,0.025,0.077,0.028,0.023,0.027,0.013,0.028
bronze2,0.122,0.115,0.042,0.051,0.071,0.009,0.069,0.035,0.048,0.049,0.061,0.032,0.034,0.039,0.029,0.076,0.031,0.021,0.026,0.013,0.029
bronze1,0.128,0.111,0.042,0.047,0.073,0.008,0.064,0.038,0.047,0.052,0.058,0.031,0.035,0.04,0.034,0.074,0.034,0.019,0.025,0.012,0.029
iron3,0.132,0.11,0.048,0.042,0.073,0.007,0.064,0.04,0.043,0.053,0.051,0.029,0.036,0.042,0.041,0.07,0.039,0.016,0.023,0.011,0.029
iron2,0.132,0.111,0.051,0.038,0.076,0.006,0.066,0.042,0.039,0.054,0.046,0.028,0.036,0.043,0.049,0.067,0.043,0.014,0.022,0.011,0.027
iron1,0.13,0.11,0.055,0.036,0.082,0.006,0.071,0.043,0.034,0.052,0.041,0.025,0.036,0.043,0.056,0.063,0.047,0.014,0.021,0.01,0.026
