placement,Deadlock,Sage,Phoenix,Neon,Gekko,Skye,Raze,Reyna,Brimstone,Yoru,Astra,Omen,Jett,Killjoy,Viper,Sova,Cypher,Fade,Chamber,Breach,Harbor,KAY/O
radiant,0.003,0.016,0.019,0.005,0.008,0.086,0.1,0.065,0.048,0.013,0.036,0.083,0.189,0.098,0.02,0.061,0.038,0.019,0.043,0.033,0.004,0.013
immortal3,0.014,0.027,0.023,0.006,0.01,0.075,0.087,0.078,0.057,0.011,0.035,0.088,0.175,0.084,0.012,0.054,0.049,0.018,0.042,0.038,0.004,0.012
immortal2,0.023,0.027,0.024,0.006,0.011,0.078,0.086,0.084,0.058,0.011,0.035,0.085,0.167,0.076,0.013,0.051,0.047,0.018,0.045,0.037,0.005,0.013
immortal1,0.019,0.035,0.024,0.007,0.014,0.075,0.084,0.081,0.058,0.012,0.032,0.084,0.165,0.076,0.015,0.048,0.046,0.019,0.05,0.038,0.006,0.014
ascendant3,0.024,0.036,0.025,0.007,0.015,0.075,0.083,0.086,0.059,0.011,0.031,0.085,0.159,0.07,0.015,0.046,0.045,0.019,0.049,0.037,0.007,0.015
ascendant2,0.025,0.039,0.026,0.008,0.016,0.075,0.082,0.087,0.059,0.012,0.03,0.084,0.155,0.068,0.016,0.046,0.044,0.02,0.05,0.037,0.007,0.016
ascendant1,0.026,0.042,0.027,0.008,0.018,0.074,0.081,0.089,0.059,0.011,0.029,0.084,0.149,0.067,0.017,0.044,0.043,0.021,0.05,0.037,0.008,0.017
diamond3,0.028,0.046,0.028,0.009,0.019,0.073,0.079,0.091,0.061,0.011,0.028,0.085,0.142,0.065,0.018,0.042,0.042,0.021,0.05,0.037,0.008,0.018
diamond2,0.03,0.049,0.028,0.01,0.02,0.072,0.078,0.093,0.06,0.011,0.027,0.085,0.137,0.064,0.019,0.041,0.041,0.022,0.049,0.036,0.008,0.019
diamond1,0.032,0.054,0.029,0.01,0.022,0.071,0.077,0.095,0.061,0.012,0.026,0.085,0.132,0.063,0.02,0.04,0.039,0.023,0.048,0.036,0.008,0.02
platinum3,0.032,0.057,0.03,0.011,0.023,0.068,0.076,0.1,0.061,0.012,0.024,0.085,0.128,0.062,0.021,0.039,0.038,0.023,0.047,0.035,0.008,0.02
platinum2,0.034,0.061,0.031,0.012,0.024,0.068,0.075,0.102,0.061,0.013,0.024,0.085,0.122,0.061,0.021,0.038,0.038,0.023,0.045,0.035,0.008,0.021
platinum1,0.035,0.065,0.031,0.013,0.025,0.067,0.074,0.104,0.061,0.013,0.022,0.085,0.117,0.061,0.022,0.037,0.037,0.023,0.044,0.035,0.008,0.021
gold3,0.036,0.068,0.032,0.014,0.026,0.064,0.074,0.11,0.061,0.014,0.021,0.084,0.114,0.059,0.023,0.036,0.035,0.023,0.042,0.033,0.008,0.021
gold2,0.037,0.072,0.033,0.015,0.027,0.064,0.073,0.111,0.061,0.014,0.02,0.084,0.108,0.059,0.024,0.035,0.035,0.023,0.04,0.033,0.009,0.021
gold1,0.038,0.077,0.033,0.016,0.028,0.063,0.071,0.112,0.061,0.015,0.019,0.084,0.102,0.059,0.025,0.035,0.035,0.024,0.039,0.033,0.009,0.022
silver3,0.039,0.079,0.034,0.018,0.029,0.06,0.072,0.12,0.06,0.016,0.017,0.083,0.1,0.057,0.025,0.034,0.034,0.023,0.037,0.031,0.009,0.022
silver2,0.041,0.083,0.034,0.02,0.031,0.06,0.071,0.119,0.059,0.018,0.016,0.083,0.093,0.057,0.026,0.033,0.034,0.024,0.035,0.031,0.009,0.022
silver1,0.04,0.089,0.035,0.021,0.033,0.059,0.069,0.119,0.059,0.019,0.015,0.082,0.086,0.057,0.027,0.034,0.034,0.025,0.033,0.03,0.009,0.023
bronze3,0.043,0.094,0.036,0.023,0.036,0.059,0.069,0.119,0.057,0.021,0.013,0.082,0.078,0.057,0.028,0.033,0.033,0.026,0.031,0.028,0.01,0.023
bronze2,0.042,0.102,0.037,0.026,0.039,0.059,0.069,0.115,0.055,0.024,0.011,0.081,0.07,0.056,0.029,0.034,0.033,0.028,0.029,0.027,0.01,0.025
bronze1,0.045,0.11,0.038,0.029,0.042,0.058,0.07,0.11,0.051,0.028,0.01,0.08,0.063,0.053,0.03,0.034,0.032,0.03,0.027,0.024,0.01,0.025
iron3,0.043,0.117,0.041,0.033,0.046,0.055,0.071,0.108,0.046,0.035,0.008,0.075,0.059,0.049,0.031,0.036,0.031,0.033,0.025,0.021,0.01,0.026
iron2,0.046,0.121,0.045,0.038,0.048,0.05,0.075,0.107,0.041,0.044,0.006,0.07,0.059,0.043,0.031,0.037,0.028,0.035,0.023,0.018,0.009,0.025
iron1,0.048,0.122,0.049,0.043,0.049,0.043,0.079,0.107,0.036,0.053,0.005,0.063,0.064,0.038,0.031,0.038,0.025,0.036,0.022,0.016,0.009,0.024
