placement,Harbor,Deadlock,Sage,Fade,Phoenix,Yoru,Raze,Reyna,Sova,Killjoy,Jett,Cypher,Viper,Brimstone,Skye,Neon,Omen,Astra,Gekko,Chamber,Breach,Iso,KAY/O
radiant,0.0,0.001,0.006,0.015,0.017,0.013,0.094,0.092,0.086,0.068,0.172,0.09,0.043,0.024,0.076,0.003,0.105,0.018,0.014,0.027,0.011,0.007,0.016
immortal3,0.002,0.003,0.016,0.012,0.02,0.014,0.081,0.097,0.081,0.059,0.161,0.099,0.033,0.031,0.075,0.004,0.111,0.018,0.014,0.029,0.015,0.01,0.014
immortal2,0.002,0.003,0.02,0.012,0.022,0.013,0.076,0.1,0.075,0.054,0.156,0.099,0.032,0.033,0.074,0.005,0.11,0.019,0.014,0.035,0.017,0.013,0.015
immortal1,0.003,0.003,0.027,0.013,0.022,0.013,0.074,0.099,0.071,0.051,0.151,0.096,0.031,0.035,0.074,0.006,0.108,0.019,0.016,0.039,0.019,0.015,0.016
ascendant3,0.003,0.003,0.031,0.013,0.024,0.013,0.072,0.101,0.068,0.049,0.145,0.094,0.031,0.037,0.072,0.006,0.107,0.02,0.017,0.041,0.02,0.016,0.017
ascendant2,0.004,0.004,0.036,0.014,0.025,0.013,0.073,0.1,0.065,0.048,0.139,0.092,0.031,0.038,0.071,0.007,0.105,0.019,0.019,0.043,0.022,0.017,0.018
ascendant1,0.004,0.004,0.041,0.014,0.026,0.013,0.071,0.1,0.062,0.048,0.132,0.089,0.031,0.039,0.07,0.008,0.104,0.019,0.02,0.044,0.022,0.018,0.019
diamond3,0.005,0.005,0.046,0.015,0.026,0.012,0.07,0.101,0.059,0.048,0.125,0.087,0.031,0.041,0.069,0.008,0.105,0.019,0.022,0.045,0.023,0.019,0.02
diamond2,0.005,0.005,0.051,0.015,0.027,0.013,0.069,0.102,0.057,0.048,0.12,0.083,0.03,0.042,0.068,0.009,0.103,0.018,0.023,0.045,0.024,0.02,0.021
diamond1,0.006,0.006,0.056,0.016,0.028,0.013,0.068,0.104,0.054,0.048,0.115,0.081,0.03,0.043,0.067,0.01,0.102,0.018,0.024,0.044,0.024,0.021,0.021
platinum3,0.006,0.006,0.06,0.016,0.029,0.013,0.068,0.108,0.052,0.048,0.111,0.078,0.03,0.044,0.064,0.011,0.101,0.017,0.025,0.044,0.024,0.023,0.021
platinum2,0.006,0.007,0.064,0.017,0.03,0.014,0.067,0.109,0.05,0.048,0.106,0.077,0.029,0.045,0.064,0.012,0.1,0.016,0.026,0.043,0.024,0.023,0.022
platinum1,0.007,0.007,0.069,0.017,0.03,0.015,0.066,0.11,0.048,0.048,0.1,0.075,0.029,0.046,0.063,0.013,0.1,0.016,0.028,0.042,0.024,0.024,0.022
gold3,0.007,0.008,0.072,0.017,0.032,0.015,0.066,0.115,0.046,0.048,0.097,0.074,0.029,0.047,0.061,0.015,0.098,0.015,0.028,0.041,0.024,0.025,0.022
gold2,0.007,0.009,0.076,0.018,0.032,0.016,0.065,0.115,0.045,0.048,0.091,0.073,0.029,0.048,0.061,0.016,0.097,0.014,0.03,0.04,0.024,0.026,0.022
gold1,0.007,0.009,0.081,0.019,0.032,0.017,0.064,0.114,0.043,0.049,0.084,0.073,0.029,0.048,0.061,0.017,0.097,0.013,0.031,0.038,0.024,0.026,0.022
silver3,0.008,0.01,0.083,0.019,0.034,0.018,0.064,0.121,0.041,0.048,0.08,0.071,0.029,0.049,0.058,0.019,0.095,0.012,0.032,0.036,0.023,0.027,0.022
silver2,0.008,0.011,0.088,0.02,0.035,0.02,0.063,0.119,0.04,0.048,0.074,0.07,0.029,0.049,0.059,0.021,0.094,0.011,0.034,0.035,0.023,0.027,0.023
silver1,0.008,0.012,0.094,0.021,0.036,0.021,0.061,0.118,0.039,0.047,0.069,0.069,0.029,0.049,0.059,0.023,0.093,0.01,0.036,0.034,0.022,0.027,0.023
bronze3,0.009,0.013,0.097,0.023,0.037,0.024,0.061,0.119,0.038,0.047,0.063,0.068,0.029,0.048,0.058,0.025,0.092,0.009,0.038,0.032,0.021,0.027,0.023
bronze2,0.009,0.014,0.103,0.025,0.039,0.027,0.06,0.115,0.039,0.045,0.058,0.065,0.029,0.046,0.058,0.028,0.09,0.008,0.041,0.031,0.02,0.028,0.024
bronze1,0.01,0.016,0.109,0.027,0.04,0.031,0.061,0.111,0.039,0.043,0.052,0.061,0.029,0.043,0.058,0.031,0.088,0.007,0.045,0.029,0.018,0.028,0.024
iron3,0.009,0.016,0.114,0.03,0.045,0.038,0.06,0.11,0.04,0.04,0.051,0.054,0.028,0.039,0.055,0.034,0.082,0.006,0.048,0.027,0.016,0.029,0.025
iron2,0.009,0.017,0.115,0.031,0.048,0.047,0.062,0.111,0.041,0.036,0.052,0.049,0.028,0.036,0.052,0.038,0.079,0.005,0.05,0.026,0.014,0.031,0.024
iron1,0.008,0.018,0.115,0.03,0.051,0.056,0.066,0.114,0.041,0.03,0.055,0.042,0.027,0.033,0.048,0.042,0.074,0.005,0.049,0.025,0.013,0.035,0.024
