placement,Deadlock,Fade,Sage,Neon,Phoenix,Reyna,Yoru,Jett,Astra,Cypher,Killjoy,Viper,Omen,Raze,Sova,Chamber,Brimstone,Gekko,Skye,Iso,Breach,KAY/O,Harbor
radiant,0.012,0.018,0.008,0.002,0.014,0.11,0.02,0.169,0.012,0.084,0.052,0.067,0.087,0.093,0.087,0.04,0.023,0.033,0.043,0.003,0.007,0.015,0.001
immortal3,0.01,0.014,0.016,0.004,0.015,0.113,0.016,0.164,0.011,0.093,0.049,0.06,0.093,0.082,0.088,0.038,0.027,0.03,0.043,0.005,0.013,0.013,0.002
immortal2,0.009,0.014,0.018,0.004,0.016,0.115,0.016,0.164,0.012,0.093,0.044,0.057,0.093,0.08,0.086,0.043,0.027,0.028,0.045,0.006,0.013,0.013,0.002
immortal1,0.009,0.013,0.023,0.005,0.018,0.114,0.017,0.163,0.013,0.091,0.04,0.055,0.091,0.077,0.082,0.049,0.028,0.029,0.044,0.006,0.016,0.015,0.003
ascendant3,0.01,0.013,0.027,0.006,0.019,0.113,0.016,0.157,0.013,0.09,0.038,0.055,0.092,0.075,0.08,0.05,0.029,0.029,0.044,0.007,0.017,0.016,0.003
ascendant2,0.009,0.014,0.031,0.006,0.02,0.111,0.016,0.151,0.014,0.089,0.037,0.055,0.092,0.074,0.077,0.052,0.03,0.03,0.044,0.008,0.018,0.017,0.004
ascendant1,0.01,0.014,0.035,0.007,0.021,0.109,0.016,0.145,0.015,0.089,0.037,0.054,0.092,0.073,0.074,0.053,0.031,0.03,0.045,0.009,0.019,0.019,0.004
diamond3,0.01,0.015,0.04,0.007,0.022,0.108,0.015,0.138,0.015,0.087,0.037,0.053,0.093,0.071,0.071,0.053,0.033,0.031,0.046,0.009,0.02,0.021,0.005
diamond2,0.01,0.015,0.044,0.008,0.023,0.108,0.015,0.132,0.015,0.085,0.037,0.052,0.093,0.07,0.068,0.053,0.034,0.032,0.047,0.01,0.02,0.022,0.005
diamond1,0.011,0.016,0.049,0.009,0.025,0.11,0.015,0.126,0.015,0.083,0.037,0.05,0.094,0.069,0.064,0.053,0.035,0.032,0.047,0.011,0.021,0.023,0.005
platinum3,0.011,0.016,0.054,0.01,0.026,0.113,0.016,0.122,0.014,0.081,0.037,0.048,0.093,0.069,0.06,0.052,0.036,0.033,0.046,0.013,0.021,0.023,0.006
platinum2,0.012,0.017,0.058,0.011,0.028,0.114,0.016,0.117,0.014,0.079,0.037,0.047,0.093,0.067,0.057,0.051,0.037,0.034,0.046,0.014,0.021,0.023,0.006
platinum1,0.012,0.017,0.063,0.012,0.028,0.115,0.017,0.111,0.014,0.078,0.038,0.046,0.093,0.066,0.054,0.05,0.038,0.034,0.046,0.014,0.022,0.024,0.006
gold3,0.013,0.018,0.065,0.014,0.029,0.12,0.017,0.107,0.013,0.077,0.038,0.044,0.093,0.066,0.052,0.048,0.039,0.035,0.045,0.015,0.022,0.024,0.007
gold2,0.013,0.018,0.07,0.015,0.03,0.12,0.018,0.101,0.013,0.076,0.039,0.043,0.093,0.065,0.05,0.046,0.04,0.036,0.046,0.016,0.022,0.024,0.007
gold1,0.014,0.019,0.075,0.016,0.031,0.119,0.018,0.094,0.012,0.076,0.039,0.042,0.093,0.064,0.048,0.043,0.041,0.037,0.048,0.017,0.022,0.024,0.007
silver3,0.014,0.019,0.078,0.018,0.032,0.126,0.019,0.091,0.011,0.074,0.039,0.04,0.092,0.063,0.045,0.041,0.042,0.037,0.047,0.018,0.021,0.024,0.008
silver2,0.015,0.02,0.083,0.02,0.033,0.123,0.021,0.083,0.011,0.074,0.04,0.039,0.092,0.062,0.044,0.039,0.043,0.038,0.048,0.019,0.021,0.024,0.008
silver1,0.016,0.021,0.09,0.022,0.034,0.121,0.022,0.076,0.01,0.073,0.041,0.038,0.092,0.06,0.043,0.036,0.043,0.04,0.049,0.019,0.021,0.025,0.009
bronze3,0.017,0.022,0.094,0.024,0.035,0.121,0.024,0.068,0.009,0.073,0.041,0.037,0.091,0.059,0.041,0.034,0.043,0.043,0.05,0.02,0.02,0.024,0.009
bronze2,0.017,0.025,0.102,0.027,0.036,0.115,0.027,0.062,0.008,0.07,0.041,0.036,0.09,0.058,0.041,0.031,0.043,0.046,0.051,0.021,0.019,0.025,0.009
bronze1,0.019,0.027,0.109,0.03,0.038,0.111,0.031,0.056,0.007,0.068,0.039,0.035,0.088,0.057,0.041,0.029,0.041,0.05,0.051,0.021,0.018,0.025,0.01
iron3,0.019,0.03,0.117,0.034,0.041,0.108,0.037,0.053,0.006,0.062,0.037,0.033,0.083,0.058,0.042,0.026,0.038,0.053,0.051,0.022,0.016,0.025,0.01
iron2,0.02,0.032,0.122,0.038,0.043,0.106,0.046,0.052,0.005,0.055,0.034,0.033,0.077,0.059,0.042,0.024,0.035,0.057,0.047,0.023,0.014,0.024,0.01
iron1,0.02,0.032,0.125,0.043,0.048,0.106,0.054,0.056,0.005,0.048,0.032,0.033,0.071,0.062,0.043,0.021,0.032,0.057,0.042,0.026,0.012,0.024,0.009
