placement,Sage,Deadlock,Clove,Phoenix,Reyna,Killjoy,Viper,Skye,Cypher,Jett,Astra,Omen,Yoru,Brimstone,Sova,Gekko,Raze,Breach,Chamber,Neon,Fade,Harbor,KAY/O,Iso
radiant,0.007,0.01,0.002,0.013,0.109,0.059,0.065,0.04,0.09,0.167,0.009,0.086,0.02,0.022,0.084,0.04,0.101,0.007,0.033,0.003,0.016,0.001,0.016,0.001
immortal3,0.012,0.008,0.001,0.015,0.106,0.054,0.062,0.038,0.097,0.158,0.008,0.097,0.018,0.026,0.088,0.041,0.088,0.012,0.032,0.005,0.014,0.002,0.013,0.003
immortal2,0.014,0.007,0.001,0.017,0.107,0.048,0.06,0.04,0.095,0.157,0.008,0.098,0.018,0.026,0.086,0.042,0.086,0.012,0.039,0.005,0.014,0.002,0.014,0.003
immortal1,0.019,0.007,0.001,0.018,0.107,0.043,0.058,0.038,0.093,0.154,0.01,0.099,0.018,0.027,0.082,0.044,0.081,0.014,0.047,0.005,0.013,0.003,0.016,0.004
ascendant3,0.023,0.008,0.001,0.021,0.105,0.039,0.057,0.038,0.092,0.15,0.011,0.098,0.017,0.028,0.078,0.046,0.081,0.016,0.05,0.006,0.013,0.003,0.017,0.005
ascendant2,0.027,0.008,0.001,0.022,0.102,0.038,0.057,0.037,0.092,0.142,0.011,0.098,0.017,0.029,0.076,0.047,0.079,0.017,0.052,0.006,0.014,0.004,0.019,0.006
ascendant1,0.032,0.008,0.001,0.022,0.1,0.038,0.056,0.037,0.091,0.135,0.012,0.099,0.017,0.03,0.072,0.048,0.077,0.019,0.052,0.007,0.014,0.004,0.021,0.006
diamond3,0.037,0.009,0.001,0.024,0.1,0.038,0.055,0.037,0.089,0.128,0.012,0.1,0.016,0.031,0.069,0.05,0.076,0.019,0.053,0.007,0.015,0.005,0.022,0.007
diamond2,0.042,0.009,0.0,0.025,0.102,0.038,0.053,0.037,0.087,0.123,0.012,0.1,0.017,0.032,0.065,0.05,0.074,0.02,0.054,0.008,0.016,0.005,0.024,0.008
diamond1,0.047,0.01,0.001,0.027,0.103,0.038,0.052,0.037,0.085,0.118,0.012,0.099,0.017,0.033,0.062,0.05,0.073,0.021,0.053,0.009,0.017,0.006,0.024,0.009
platinum3,0.05,0.01,0.001,0.028,0.107,0.038,0.05,0.037,0.083,0.115,0.012,0.098,0.017,0.034,0.058,0.049,0.072,0.021,0.052,0.01,0.017,0.006,0.025,0.009
platinum2,0.055,0.011,0.001,0.029,0.108,0.038,0.049,0.037,0.082,0.11,0.012,0.098,0.017,0.035,0.056,0.05,0.071,0.021,0.051,0.011,0.017,0.006,0.025,0.01
platinum1,0.059,0.011,0.001,0.03,0.109,0.039,0.048,0.038,0.082,0.103,0.011,0.099,0.018,0.036,0.053,0.05,0.069,0.022,0.049,0.012,0.018,0.007,0.025,0.011
gold3,0.062,0.012,0.001,0.031,0.114,0.039,0.046,0.037,0.08,0.099,0.011,0.098,0.018,0.037,0.051,0.05,0.069,0.022,0.048,0.013,0.018,0.007,0.025,0.012
gold2,0.067,0.013,0.0,0.032,0.114,0.039,0.045,0.038,0.08,0.094,0.011,0.098,0.019,0.038,0.049,0.05,0.067,0.022,0.046,0.015,0.019,0.008,0.026,0.013
gold1,0.073,0.013,0.001,0.033,0.113,0.04,0.044,0.039,0.08,0.087,0.01,0.097,0.02,0.039,0.047,0.051,0.065,0.022,0.044,0.016,0.02,0.008,0.026,0.014
silver3,0.076,0.013,0.001,0.034,0.12,0.04,0.042,0.039,0.078,0.084,0.009,0.095,0.021,0.04,0.045,0.05,0.064,0.021,0.041,0.018,0.02,0.008,0.025,0.015
silver2,0.082,0.014,0.001,0.035,0.117,0.04,0.042,0.04,0.078,0.077,0.009,0.094,0.022,0.041,0.044,0.051,0.062,0.021,0.039,0.02,0.021,0.009,0.026,0.016
silver1,0.088,0.015,0.001,0.036,0.115,0.04,0.04,0.041,0.077,0.071,0.008,0.094,0.024,0.042,0.043,0.053,0.06,0.021,0.037,0.021,0.023,0.009,0.026,0.017
bronze3,0.091,0.016,0.001,0.037,0.116,0.04,0.04,0.042,0.077,0.065,0.008,0.093,0.026,0.041,0.042,0.054,0.058,0.02,0.035,0.024,0.024,0.009,0.026,0.017
bronze2,0.097,0.017,0.001,0.038,0.112,0.039,0.039,0.043,0.074,0.06,0.007,0.09,0.029,0.041,0.042,0.056,0.057,0.019,0.033,0.026,0.026,0.01,0.027,0.018
bronze1,0.105,0.018,0.0,0.04,0.107,0.038,0.038,0.044,0.071,0.054,0.007,0.087,0.034,0.039,0.042,0.059,0.057,0.018,0.031,0.029,0.028,0.01,0.027,0.018
iron3,0.112,0.019,0.0,0.043,0.105,0.035,0.037,0.044,0.064,0.052,0.006,0.081,0.04,0.036,0.042,0.062,0.057,0.016,0.028,0.032,0.031,0.01,0.027,0.02
iron2,0.116,0.02,0.0,0.045,0.104,0.033,0.036,0.042,0.059,0.052,0.005,0.077,0.047,0.033,0.043,0.064,0.058,0.014,0.025,0.036,0.033,0.01,0.026,0.021
iron1,0.117,0.019,0.0,0.049,0.106,0.03,0.035,0.038,0.051,0.055,0.005,0.073,0.057,0.032,0.043,0.064,0.06,0.012,0.023,0.041,0.033,0.009,0.025,0.022
