placement,Clove,Yoru,Iso,Phoenix,Deadlock,Fade,Neon,Sage,Raze,Reyna,Gekko,Jett,Cypher,Sova,Viper,Skye,Killjoy,Chamber,Breach,Brimstone
radiant,0.107,0.013,0.063,0.01,0.014,0.017,0.021,0.002,0.084,0.087,0.054,0.135,0.068,0.084,0.035,0.026,0.076,0.022,0.009,0.012
immortal3,0.12,0.011,0.059,0.013,0.012,0.014,0.016,0.006,0.075,0.09,0.054,0.137,0.075,0.087,0.029,0.026,0.072,0.025,0.012,0.0
immortal2,0.119,0.012,0.05,0.015,0.01,0.014,0.015,0.008,0.076,0.094,0.056,0.137,0.077,0.085,0.026,0.026,0.066,0.03,0.013,0.012
immortal1,0.116,0.011,0.046,0.017,0.01,0.013,0.014,0.012,0.074,0.095,0.059,0.135,0.079,0.08,0.024,0.027,0.059,0.038,0.015,0.013
ascendant3,0.113,0.011,0.046,0.018,0.009,0.014,0.014,0.016,0.073,0.095,0.06,0.131,0.079,0.077,0.022,0.027,0.055,0.041,0.016,0.014
ascendant2,0.11,0.011,0.044,0.02,0.01,0.014,0.015,0.02,0.072,0.095,0.061,0.125,0.078,0.073,0.021,0.027,0.053,0.044,0.017,0.015
ascendant1,0.107,0.011,0.041,0.021,0.01,0.015,0.015,0.025,0.071,0.095,0.062,0.119,0.078,0.069,0.02,0.028,0.053,0.046,0.019,0.017
diamond3,0.106,0.011,0.039,0.022,0.01,0.015,0.015,0.031,0.069,0.096,0.063,0.114,0.077,0.066,0.019,0.028,0.051,0.047,0.02,0.018
diamond2,0.105,0.011,0.038,0.024,0.011,0.015,0.016,0.036,0.068,0.099,0.063,0.109,0.074,0.063,0.018,0.028,0.05,0.047,0.021,0.019
diamond1,0.104,0.012,0.037,0.025,0.011,0.016,0.016,0.041,0.066,0.101,0.063,0.105,0.073,0.059,0.017,0.028,0.049,0.047,0.021,0.02
platinum3,0.103,0.012,0.037,0.026,0.011,0.016,0.017,0.046,0.066,0.106,0.062,0.102,0.071,0.056,0.016,0.028,0.048,0.046,0.021,0.021
platinum2,0.101,0.013,0.036,0.027,0.012,0.016,0.018,0.05,0.065,0.107,0.061,0.098,0.069,0.053,0.016,0.028,0.047,0.046,0.022,0.022
platinum1,0.099,0.013,0.034,0.028,0.012,0.017,0.019,0.055,0.063,0.107,0.062,0.093,0.069,0.051,0.015,0.029,0.048,0.044,0.022,0.023
gold3,0.098,0.0,0.034,0.029,0.013,0.017,0.02,0.059,0.063,0.111,0.061,0.089,0.068,0.049,0.015,0.029,0.047,0.043,0.022,0.024
gold2,0.096,0.0,0.033,0.03,0.013,0.018,0.021,0.064,0.061,0.111,0.061,0.084,0.067,0.047,0.015,0.03,0.047,0.041,0.022,0.026
gold1,0.094,0.0,0.032,0.031,0.014,0.018,0.023,0.07,0.059,0.111,0.062,0.079,0.067,0.046,0.015,0.031,0.047,0.04,0.022,0.027
silver3,0.092,0.0,0.032,0.032,0.014,0.019,0.024,0.074,0.058,0.117,0.06,0.076,0.066,0.044,0.014,0.03,0.045,0.038,0.021,0.028
silver2,0.09,0.0,0.031,0.033,0.015,0.02,0.026,0.079,0.056,0.115,0.061,0.071,0.066,0.042,0.015,0.031,0.045,0.036,0.021,0.029
silver1,0.088,0.0,0.03,0.034,0.016,0.021,0.027,0.084,0.054,0.113,0.062,0.066,0.065,0.042,0.015,0.032,0.044,0.035,0.021,0.03
bronze3,0.086,0.0,0.029,0.035,0.017,0.022,0.029,0.087,0.053,0.113,0.064,0.061,0.065,0.04,0.015,0.032,0.043,0.033,0.02,0.03
bronze2,0.082,0.0,0.029,0.037,0.017,0.024,0.032,0.093,0.052,0.11,0.066,0.057,0.063,0.04,0.016,0.032,0.041,0.031,0.019,0.03
bronze1,0.078,0.0,0.028,0.038,0.018,0.026,0.034,0.099,0.052,0.106,0.069,0.052,0.061,0.04,0.017,0.033,0.039,0.029,0.017,0.029
iron3,0.071,0.0,0.027,0.042,0.018,0.029,0.037,0.105,0.051,0.104,0.071,0.052,0.055,0.042,0.018,0.033,0.036,0.026,0.016,0.029
iron2,0.068,0.0,0.026,0.044,0.019,0.031,0.041,0.108,0.052,0.102,0.072,0.051,0.051,0.041,0.019,0.032,0.032,0.025,0.014,0.027
iron1,0.061,0.051,0.026,0.049,0.018,0.031,0.044,0.111,0.055,0.103,0.07,0.055,0.044,0.042,0.0,0.031,0.029,0.022,0.013,0.027
unrated,0.043,0.0,0.021,0.054,0.009,0.021,0.027,0.1,0.059,0.134,0.043,0.098,0.042,0.06,0.015,0.033,0.034,0.032,0.016,0.0
