placement,Chamber,Brimstone,Reyna,Jett,Neon,Iso,Cypher,Clove,Gekko,Breach,Deadlock,Raze,Sage,Sova,Skye,Yoru,KAY/O,Killjoy,Fade,Vyse
radiant,0.017,0.007,0.068,0.132,0.079,0.068,0.081,0.125,0.022,0.014,0.014,0.048,0.003,0.121,0.017,0.017,0.01,0.058,0.02,0.003
immortal3,0.025,0.007,0.088,0.14,0.061,0.053,0.087,0.129,0.027,0.015,0.015,0.042,0.005,0.115,0.017,0.015,0.007,0.056,0.016,0.0
immortal2,0.03,0.008,0.091,0.146,0.057,0.043,0.089,0.133,0.031,0.015,0.012,0.0,0.005,0.114,0.018,0.013,0.0,0.051,0.014,0.004
immortal1,0.036,0.01,0.093,0.141,0.049,0.042,0.086,0.124,0.035,0.019,0.012,0.044,0.008,0.109,0.018,0.013,0.0,0.05,0.013,0.0
ascendant3,0.04,0.011,0.095,0.138,0.044,0.037,0.088,0.119,0.039,0.02,0.013,0.046,0.011,0.105,0.018,0.0,0.0,0.047,0.013,0.006
ascendant2,0.043,0.012,0.094,0.137,0.041,0.034,0.085,0.115,0.042,0.0,0.012,0.048,0.015,0.099,0.019,0.012,0.0,0.046,0.014,0.007
ascendant1,0.047,0.013,0.095,0.13,0.038,0.032,0.085,0.112,0.045,0.023,0.013,0.048,0.019,0.096,0.019,0.012,0.0,0.044,0.014,0.007
diamond3,0.048,0.014,0.096,0.125,0.036,0.031,0.082,0.11,0.048,0.023,0.013,0.048,0.024,0.091,0.019,0.0,0.0,0.044,0.014,0.008
diamond2,0.049,0.015,0.096,0.12,0.036,0.03,0.079,0.107,0.05,0.024,0.013,0.048,0.029,0.085,0.0,0.012,0.0,0.043,0.015,0.009
diamond1,0.05,0.016,0.098,0.116,0.035,0.03,0.077,0.106,0.051,0.025,0.014,0.048,0.033,0.08,0.02,0.0,0.0,0.043,0.015,0.009
platinum3,0.051,0.018,0.102,0.112,0.035,0.031,0.075,0.103,0.052,0.024,0.014,0.048,0.037,0.076,0.02,0.0,0.0,0.042,0.015,0.01
platinum2,0.05,0.018,0.102,0.108,0.036,0.031,0.073,0.101,0.053,0.024,0.015,0.048,0.041,0.072,0.02,0.0,0.0,0.041,0.016,0.01
platinum1,0.05,0.02,0.103,0.102,0.036,0.031,0.072,0.1,0.054,0.025,0.015,0.047,0.046,0.067,0.021,0.0,0.0,0.041,0.016,0.011
gold3,0.048,0.021,0.105,0.098,0.037,0.031,0.071,0.098,0.054,0.025,0.016,0.048,0.05,0.064,0.021,0.0,0.0,0.041,0.016,0.011
gold2,0.047,0.023,0.106,0.093,0.038,0.032,0.07,0.095,0.055,0.024,0.016,0.047,0.055,0.061,0.021,0.0,0.0,0.04,0.017,0.012
gold1,0.046,0.025,0.105,0.085,0.038,0.032,0.07,0.093,0.057,0.024,0.017,0.046,0.061,0.058,0.022,0.0,0.0,0.041,0.017,0.012
silver3,0.043,0.026,0.11,0.082,0.04,0.033,0.069,0.092,0.056,0.023,0.017,0.046,0.065,0.055,0.022,0.0,0.0,0.04,0.018,0.012
silver2,0.041,0.027,0.109,0.074,0.041,0.033,0.069,0.089,0.058,0.023,0.018,0.045,0.069,0.053,0.0,0.0,0.0,0.039,0.019,0.013
silver1,0.04,0.029,0.108,0.069,0.042,0.033,0.068,0.086,0.06,0.022,0.019,0.044,0.076,0.051,0.023,0.0,0.0,0.039,0.019,0.012
bronze3,0.037,0.03,0.108,0.062,0.045,0.034,0.067,0.085,0.063,0.021,0.019,0.044,0.08,0.048,0.0,0.0,0.0,0.039,0.021,0.012
bronze2,0.035,0.031,0.106,0.058,0.046,0.034,0.065,0.079,0.064,0.019,0.02,0.043,0.087,0.047,0.024,0.0,0.0,0.037,0.022,0.013
bronze1,0.033,0.031,0.101,0.052,0.048,0.034,0.062,0.075,0.068,0.018,0.02,0.043,0.094,0.046,0.025,0.0,0.0,0.034,0.025,0.014
iron3,0.029,0.03,0.1,0.05,0.052,0.0,0.055,0.068,0.071,0.014,0.02,0.043,0.1,0.048,0.026,0.0,0.0,0.031,0.027,0.0
iron2,0.028,0.028,0.099,0.05,0.057,0.033,0.05,0.061,0.072,0.012,0.0,0.043,0.107,0.047,0.025,0.0,0.0,0.028,0.029,0.0
unrated,0.036,0.034,0.131,0.099,0.038,0.027,0.043,0.046,0.044,0.016,0.01,0.047,0.094,0.067,0.027,0.0,0.0,0.03,0.02,0.0
