placement,Vyse,Viper,Phoenix,Gekko,Neon,Clove,Iso,Brimstone,Fade,Raze,Breach,Yoru,Deadlock,Sova,Jett,Reyna,Cypher,Sage,Killjoy,Skye
radiant,0.005,0.01,0.012,0.014,0.081,0.123,0.059,0.006,0.021,0.054,0.012,0.017,0.02,0.095,0.133,0.063,0.109,0.004,0.04,0.033
immortal3,0.006,0.005,0.017,0.017,0.074,0.127,0.05,0.0,0.023,0.046,0.013,0.016,0.018,0.098,0.132,0.077,0.108,0.009,0.037,0.032
immortal2,0.006,0.005,0.017,0.022,0.065,0.128,0.044,0.008,0.022,0.044,0.014,0.015,0.017,0.096,0.135,0.084,0.109,0.01,0.036,0.033
immortal1,0.007,0.006,0.019,0.029,0.054,0.119,0.038,0.01,0.02,0.045,0.0,0.014,0.015,0.088,0.137,0.088,0.106,0.013,0.033,0.033
ascendant3,0.007,0.006,0.021,0.033,0.05,0.114,0.033,0.012,0.02,0.046,0.0,0.013,0.015,0.085,0.134,0.089,0.102,0.017,0.032,0.032
ascendant2,0.008,0.006,0.023,0.037,0.047,0.109,0.03,0.013,0.02,0.047,0.0,0.013,0.015,0.081,0.131,0.089,0.098,0.022,0.033,0.03
ascendant1,0.008,0.006,0.024,0.04,0.043,0.106,0.029,0.0,0.019,0.047,0.024,0.013,0.015,0.077,0.126,0.09,0.095,0.026,0.033,0.03
diamond3,0.009,0.006,0.024,0.043,0.041,0.104,0.028,0.015,0.019,0.046,0.025,0.0,0.015,0.073,0.12,0.091,0.092,0.031,0.034,0.029
diamond2,0.01,0.006,0.026,0.045,0.04,0.102,0.028,0.017,0.019,0.047,0.025,0.0,0.016,0.07,0.115,0.092,0.088,0.035,0.034,0.029
diamond1,0.01,0.0,0.027,0.047,0.039,0.101,0.028,0.018,0.019,0.046,0.026,0.013,0.016,0.066,0.112,0.094,0.085,0.04,0.034,0.028
platinum3,0.01,0.007,0.028,0.047,0.04,0.099,0.028,0.019,0.019,0.046,0.025,0.0,0.017,0.063,0.108,0.098,0.081,0.044,0.034,0.027
platinum2,0.011,0.007,0.029,0.048,0.04,0.098,0.029,0.02,0.019,0.046,0.025,0.0,0.017,0.061,0.103,0.099,0.08,0.047,0.035,0.027
platinum1,0.011,0.007,0.029,0.05,0.04,0.097,0.029,0.021,0.019,0.045,0.025,0.0,0.018,0.058,0.098,0.099,0.078,0.051,0.035,0.026
gold3,0.011,0.007,0.03,0.05,0.041,0.095,0.03,0.023,0.019,0.046,0.025,0.0,0.018,0.056,0.094,0.102,0.076,0.055,0.035,0.026
gold2,0.012,0.0,0.03,0.051,0.041,0.094,0.03,0.024,0.019,0.045,0.025,0.0,0.019,0.054,0.088,0.103,0.075,0.06,0.036,0.026
gold1,0.012,0.0,0.031,0.053,0.042,0.093,0.03,0.026,0.02,0.044,0.025,0.0,0.019,0.052,0.082,0.103,0.074,0.065,0.037,0.026
silver3,0.012,0.0,0.032,0.052,0.044,0.09,0.032,0.027,0.02,0.044,0.024,0.0,0.019,0.049,0.078,0.108,0.072,0.068,0.036,0.025
silver2,0.012,0.0,0.032,0.054,0.045,0.089,0.032,0.029,0.02,0.043,0.023,0.0,0.02,0.048,0.071,0.107,0.072,0.073,0.037,0.025
silver1,0.012,0.0,0.032,0.057,0.045,0.087,0.032,0.03,0.021,0.042,0.022,0.0,0.021,0.046,0.066,0.106,0.072,0.079,0.036,0.026
bronze3,0.012,0.009,0.033,0.058,0.047,0.085,0.033,0.031,0.022,0.042,0.021,0.0,0.021,0.044,0.06,0.107,0.071,0.082,0.036,0.026
bronze2,0.013,0.01,0.035,0.061,0.049,0.08,0.033,0.031,0.024,0.042,0.02,0.0,0.022,0.045,0.054,0.104,0.068,0.089,0.035,0.026
bronze1,0.012,0.0,0.036,0.064,0.052,0.076,0.033,0.032,0.026,0.042,0.018,0.0,0.023,0.044,0.05,0.101,0.064,0.096,0.033,0.027
iron3,0.013,0.0,0.041,0.067,0.055,0.069,0.033,0.031,0.028,0.042,0.015,0.0,0.021,0.045,0.048,0.101,0.056,0.103,0.029,0.027
iron2,0.012,0.0,0.042,0.068,0.059,0.063,0.033,0.03,0.03,0.043,0.013,0.0,0.021,0.045,0.049,0.102,0.051,0.107,0.026,0.026
unrated,0.012,0.011,0.043,0.05,0.038,0.069,0.027,0.0,0.023,0.046,0.018,0.0,0.012,0.053,0.095,0.114,0.062,0.078,0.03,0.03
