Act,Placement,Agent,Rank,KD,K,D,A,First_Blood_Rate,Pick_Rate,Win_Rate,Avg._Score,Matches
Ep3-Act3,Iron 1,Sage,1,0.69,9.7,14.0,5.5,0.1,0.172,0.5,144,411927
Ep3-Act3,Iron 1,Reyna,2,0.94,13.3,14.2,3.9,0.2,0.119,0.5,201,283458
Ep3-Act3,Iron 1,Jett,3,0.91,12.9,14.3,3.6,0.2,0.101,0.49,195,241128
Ep3-Act3,Iron 1,Raze,4,0.83,12.1,14.5,4.5,0.1,0.085,0.49,190,203490
Ep3-Act3,Iron 1,Sova,5,0.75,10.5,14.0,4.6,0.1,0.072,0.5,161,172584
Ep3-Act3,Iron 1,Phoenix,6,0.8,11.3,14.1,3.5,0.1,0.066,0.49,174,157182
Ep3-Act3,Iron 1,Viper,7,0.74,10.4,14.1,4.3,0.1,0.059,0.5,157,141627
Ep3-Act3,Iron 1,Killjoy,8,0.77,10.7,13.9,3.9,0.1,0.055,0.51,165,130815
Ep3-Act3,Iron 1,Omen,9,0.77,11.2,14.6,3.8,0.1,0.051,0.47,166,120921
Ep3-Act3,Iron 1,Yoru,10,0.78,11.5,14.7,3.3,0.1,0.044,0.46,171,104040
Ep3-Act3,Iron 1,Skye,11,0.72,10.4,14.3,5.7,0.1,0.038,0.5,155,89913
Ep3-Act3,Iron 1,Brimstone,12,0.75,10.6,14.2,4.7,0.1,0.033,0.48,162,78642
Ep3-Act3,Iron 1,KAY/O,13,0.7,10.3,14.7,5.9,0.1,0.029,0.48,157,69105
Ep3-Act3,Iron 1,Chamber,14,0.88,12.3,13.9,3.2,0.1,0.028,0.49,181,66249
Ep3-Act3,Iron 1,Cypher,15,0.78,10.9,13.8,4.0,0.1,0.027,0.49,161,65229
Ep3-Act3,Iron 1,Breach,16,0.76,10.9,14.4,4.2,0.1,0.015,0.49,164,34782
Ep3-Act3,Iron 1,Astra,17,0.84,11.4,13.6,4.0,0.1,0.008,0.48,169,19074
Ep3-Act3,Iron 2,Sage,1,0.76,10.8,14.2,6.0,0.1,0.172,0.51,157,727770
Ep3-Act3,Iron 2,Reyna,2,0.97,14.2,14.6,4.2,0.2,0.123,0.5,211,522444
Ep3-Act3,Iron 2,Jett,3,0.93,13.5,14.5,3.9,0.2,0.098,0.51,201,414273
Ep3-Act3,Iron 2,Raze,4,0.87,12.9,14.8,4.7,0.1,0.086,0.51,200,365925
Ep3-Act3,Iron 2,Sova,5,0.8,11.4,14.2,4.9,0.1,0.07,0.5,172,294678
Ep3-Act3,Iron 2,Killjoy,6,0.83,11.5,13.9,4.1,0.1,0.06,0.52,176,256326
Ep3-Act3,Iron 2,Viper,7,0.79,11.3,14.3,4.6,0.1,0.059,0.5,168,248115
Ep3-Act3,Iron 2,Omen,8,0.83,12.2,14.8,4.1,0.1,0.054,0.49,180,230673
Ep3-Act3,Iron 2,Phoenix,9,0.84,12.3,14.7,3.8,0.1,0.054,0.47,185,227256
Ep3-Act3,Iron 2,Skye,10,0.78,11.2,14.4,6.0,0.1,0.042,0.51,166,176409
Ep3-Act3,Iron 2,Yoru,11,0.82,12.2,14.8,3.5,0.1,0.035,0.47,180,150501
Ep3-Act3,Iron 2,Brimstone,12,0.81,11.7,14.4,5.2,0.1,0.035,0.49,175,149940
Ep3-Act3,Iron 2,Chamber,13,0.88,12.3,14.0,3.3,0.1,0.031,0.5,181,133365
Ep3-Act3,Iron 2,KAY/O,14,0.74,10.9,14.9,6.4,0.1,0.029,0.48,166,121380
Ep3-Act3,Iron 2,Cypher,15,0.82,11.6,14.2,4.2,0.1,0.028,0.49,169,119901
Ep3-Act3,Iron 2,Breach,16,0.8,11.9,14.9,4.7,0.1,0.015,0.51,176,64923
Ep3-Act3,Iron 2,Astra,17,0.84,11.7,13.9,4.1,0.1,0.008,0.48,171,35598
Ep3-Act3,Iron 3,Sage,1,0.8,11.4,14.3,6.2,0.1,0.17,0.5,166,1391127
Ep3-Act3,Iron 3,Reyna,2,1.01,15.0,14.8,4.2,0.2,0.129,0.5,221,1054476
Ep3-Act3,Iron 3,Jett,3,0.97,14.4,14.8,3.9,0.2,0.102,0.5,212,838185
Ep3-Act3,Iron 3,Raze,4,0.89,13.3,14.9,4.8,0.1,0.078,0.49,205,637857
Ep3-Act3,Iron 3,Sova,5,0.82,11.9,14.5,5.1,0.1,0.071,0.48,178,580380
Ep3-Act3,Iron 3,Killjoy,6,0.86,12.0,13.9,4.2,0.1,0.062,0.52,182,505614
Ep3-Act3,Iron 3,Viper,7,0.84,12.1,14.4,4.9,0.1,0.056,0.5,178,462060
Ep3-Act3,Iron 3,Omen,8,0.85,12.6,14.8,4.2,0.1,0.056,0.48,184,459969
Ep3-Act3,Iron 3,Phoenix,9,0.88,13.0,14.8,3.9,0.2,0.053,0.48,194,432072
